ООО КСК ТРЕЙД Тс167505-26 08.08.2026 Крым 14103кг (Латышев).pdf
('SU000722кг', ['10,00', '112.514'], '108,414')
('SU001485шт', ['90,00', '377.100'], '900,000')
('SU002815шт', ['100,00', '469.000'], '1_000,000')
('SU002814шт', ['42,00', '120.540'], '252,000')
('SU002835кг', ['7,00', '59.816'], '56,442')
('SU002816шт', ['100,00', '469.000'], '1_000,000')
('SU001523кг', ['43,00', '374.092'], '353,366')
('SU001523кг', ['7,00', '59.924'], '56,550')
('SU001718шт', ['184,00', '539.120'], '1_104,000')
('SU002928кг', ['3,00', '33.526'], '32,296')
('SU002734шт', ['110,00', '515.900'], '1_100,000')
('SU001721кг', ['75,00', '649.219'], '613,069')
('SU001720шт', ['250,00', '735.500'], '1_500,000')
('SU003336шт', ['25,00', '51.050'], '150,000')
('SU002367шт', ['17,00', '38.182'], '102,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU003987шт', ['17,00', '16.286'], '102,000')
('SU004041кг', ['72,00', '270.043'], '253,483')
('SU004047кг', ['70,00', '268.143'], '252,043')
('SU004044кг', ['70,00', '268.014'], '251,914')
('SU004039шт', ['100,00', '181.600'], '600,000')
('SU002756кг', ['12,00', '55.023'], '52,311')
('SU002876кг', ['12,00', '54.890'], '52,610')
('SU002847кг', ['15,00', '69.026'], '65,636')
('SU004026шт', ['15,00', '16.350'], '150,000')
('SU002877шт', ['86,00', '192.296'], '516,000')
('SU003178шт', ['10,00', '10.600'], '100,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU003895шт', ['12,00', '17.280'], '216,000')
('SU003893шт', ['20,00', '28.800'], '360,000')
('SU003894шт', ['17,00', '24.480'], '306,000')
('SU003896шт', ['9,00', '12.960'], '162,000')
('SU002941кг', ['47,00', '267.592'], '255,842')
('SU002943кг', ['10,00', '56.880'], '54,380')
('SU002945кг', ['10,00', '56.337'], '54,017')
('SU002947кг', ['8,00', '45.364'], '43,364')
('SU002843кг', ['19,00', '169.778'], '158,796')
('SU002845кг', ['19,00', '162.181'], '153,023')
('SU002842шт', ['117,00', '307.710'], '702,000')
('SU002686шт', ['34,00', '89.420'], '204,000')
('SU002844шт', ['50,00', '132.100'], '300,000')
('SU002759шт', ['14,00', '36.820'], '84,000')
('SU003271кг', ['4,00', '47.785'], '46,145')
('SU003274шт', ['2,00', '8.380'], '20,000')
('SU003573шт', ['7,00', '14.560'], '42,000')
('SU003921шт', ['10,00', '19.800'], '150,000')
('SU003920шт', ['14,00', '27.720'], '210,000')
('SU003925шт', ['6,00', '6.696'], '108,000')
('SU002801шт', ['25,00', '65.750'], '150,000')
('SU002799шт', ['117,00', '307.008'], '702,000')
('SU004103кг', ['13,00', '110.210'], '104,880')
('SU004104кг', ['13,00', '110.158'], '104,828')
('SU004106кг', ['13,00', '110.461'], '105,131')
('SU002252шт', ['17,00', '34.306'], '102,000')
('SU001051кг', ['35,00', '317.382'], '300,512')
('SU000227кг', ['16,00', '132.658'], '124,946')
('SU000227кг', ['35,00', '294.810'], '280,460')
('SU001430кг', ['9,00', '84.812'], '79,978')
('SU002841шт', ['50,00', '110.000'], '1_000,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU003168шт', ['250,00', '579.500'], '1_500,000')
('SU004131кг', ['7,00', '106.351'], '103,061')
('SU003423кг', ['107,00', '1.665.281'], '1_614,991')
('SU003421шт', ['5,00', '25.950'], '50,000')
('SU000126кг', ['100,00', '1.549.797'], '1_502,797')
('SU002011кг', ['16,00', '91.311'], '85,711')
('SU002632шт', ['19,00', '94.810'], '152,000')
('SU002631шт', ['50,00', '249.500'], '400,000')
('SU002035кг', ['49,00', '273.684'], '256,534')
('SU002643шт', ['19,00', '94.810'], '152,000')
('SU002150кг', ['16,00', '89.883'], '84,283')
('SU002158кг', ['6,00', '34.000'], '31,900')
('SU002151кг', ['29,00', '163.075'], '152,925')
('SU002916шт', ['9,00', '44.910'], '72,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['32,00', '159.680'], '256,000')
('SU002808кг', ['6,00', '74.850'], '72,390')

ООО КСК ТРЕЙД Тс169653-26 08.08.2026 Крым 1113кг (Латышев).pdf
('SU003422кг', ['37,00', '571.120'], '553,730')
('SU003420кг', ['37,00', '576.754'], '559,364')

ООО КСК ТРЕЙД Тс169471-26 08.08.2026 Крым 2231кг (Латышев).pdf
('SU003422кг', ['74,00', '1.146.683'], '1_111,903')
('SU003420кг', ['74,00', '1.153.991'], '1_119,211')

ООО КСК ТРЕЙД Тс169747-26 08.08.2026 Крым 103кг (Латышев).pdf
('SU003422кг', ['7,00', '107.166'], '103,876')

