ООО ЛП Тс167993-26 09.08.2026 Сочи 5801кг (Хохлов).pdf
('SU000341шт', ['1,00', '2.756'], '6,000')
('SU004016шт', ['1,00', '2.030'], '6,000')
('SU003665шт', ['1,00', '2.030'], '6,000')
('SU004125шт', ['1,00', '2.234'], '6,000')
('SU004132шт', ['1,00', '2.282'], '6,000')
('SU004134шт', ['1,00', '2.282'], '6,000')
('SU000722кг', ['10,00', '112.130'], '107,630')
('SU001485шт', ['7,00', '29.330'], '70,000')
('SU003642кг', ['3,00', '33.685'], '32,455')
('SU002674шт', ['3,00', '14.970'], '24,000')
('SU003033шт', ['2,00', '4.540'], '12,000')
('SU002815шт', ['5,00', '23.450'], '50,000')
('SU002828кг', ['10,00', '111.845'], '107,745')
('SU002814шт', ['8,00', '22.960'], '48,000')
('SU002825шт', ['1,00', '2.036'], '6,000')
('SU003288шт', ['1,00', '2.030'], '6,000')
('SU002835кг', ['1,00', '8.106'], '7,624')
('SU002816шт', ['3,00', '14.070'], '30,000')
('SU001523кг', ['12,00', '70.553'], '65,777')
('SU001718шт', ['1,00', '2.930'], '6,000')
('SU002769шт', ['1,00', '2.210'], '6,000')
('SU002734шт', ['3,00', '14.070'], '30,000')
('SU002827шт', ['2,00', '9.380'], '12,000')
('SU002833кг', ['5,00', '34.339'], '32,529')
('SU002735шт', ['3,00', '7.710'], '18,000')
('SU001721кг', ['8,00', '68.077'], '64,221')
('SU001720шт', ['1,00', '2.930'], '6,000')
('SU004164кг', ['2,00', '16.814'], '16,350')
('SU004155шт', ['3,00', '8.250'], '18,000')
('SU002312шт', ['2,00', '8.380'], '20,000')
('SU004041кг', ['5,00', '18.791'], '17,641')
('SU004237кг', ['3,00', '11.669'], '10,979')
('SU004047кг', ['3,00', '11.500'], '10,810')
('SU004044кг', ['5,00', '19.207'], '18,057')
('SU004039шт', ['5,00', '9.080'], '30,000')
('SU004045шт', ['5,00', '9.080'], '30,000')
('SU004042шт', ['5,00', '9.080'], '30,000')
('SU004130шт', ['1,00', '2.750'], '6,000')
('SU004129шт', ['1,00', '2.750'], '6,000')
('SU004053шт', ['1,00', '2.036'], '6,000')
('SU002756кг', ['5,00', '22.929'], '21,799')
('SU002876кг', ['3,00', '13.705'], '13,135')
('SU002847кг', ['5,00', '22.969'], '21,839')
('SU003997шт', ['4,00', '7.744'], '24,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU004100шт', ['1,00', '2.422'], '6,000')
('SU004101шт', ['1,00', '2.182'], '6,000')
('SU004102шт', ['1,00', '2.422'], '6,000')
('SU002941кг', ['5,00', '28.593'], '27,343')
('SU002943кг', ['5,00', '28.346'], '27,096')
('SU002945кг', ['5,00', '28.158'], '26,998')
('SU002947кг', ['5,00', '28.577'], '27,327')
('SU002845кг', ['2,00', '17.061'], '16,097')
('SU002842шт', ['1,00', '2.630'], '6,000')
('SU002621шт', ['1,00', '2.630'], '6,000')
('SU002686шт', ['1,00', '2.630'], '6,000')
('SU002844шт', ['1,00', '2.642'], '6,000')
