ООО НВ Тс169467-26 12.08.2026 Мелитополь 7308кг (Сарва).pdf
('SU000722кг', ['1,00', '11.030'], '10,635')
('SU002829кг', ['2,00', '22.639'], '21,819')
('SU002815шт', ['10,00', '46.900'], '100,000')
('SU002835кг', ['42,00', '356.676'], '336,432')
('SU002830кг', ['8,00', '83.862'], '80,642')
('SU001523кг', ['90,00', '522.160'], '486,340')
('SU002734шт', ['8,00', '37.520'], '80,000')
('SU001721кг', ['63,00', '546.721'], '516,355')
('SU001720шт', ['11,00', '32.362'], '66,000')
('SU002367шт', ['11,00', '24.706'], '66,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU004047кг', ['46,00', '177.455'], '166,875')
('SU004044кг', ['59,00', '227.735'], '214,165')
('SU004039шт', ['52,00', '94.432'], '312,000')
('SU004042шт', ['68,00', '123.488'], '408,000')
('SU002756кг', ['31,00', '142.472'], '135,466')
('SU002847кг', ['11,00', '50.645'], '48,159')
('SU004026шт', ['12,00', '13.080'], '120,000')
('SU003829шт', ['17,00', '32.912'], '102,000')
('SU003178шт', ['19,00', '20.140'], '190,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002945кг', ['32,00', '180.780'], '173,356')
('SU002947кг', ['28,00', '159.169'], '152,169')
('SU002843кг', ['6,00', '51.606'], '48,138')
('SU002845кг', ['10,00', '87.205'], '82,385')
('SU002725кг', ['4,00', '36.320'], '34,392')
('SU002842шт', ['47,00', '123.610'], '282,000')
('SU002618шт', ['84,00', '220.920'], '504,000')
('SU002621шт', ['30,00', '78.900'], '180,000')
('SU002686шт', ['14,00', '36.820'], '84,000')
('SU002844шт', ['34,00', '89.828'], '204,000')
('SU002759шт', ['14,00', '36.820'], '84,000')
('SU002758шт', ['16,00', '42.080'], '96,000')
('SU002801шт', ['20,00', '52.600'], '120,000')
('SU004103кг', ['2,00', '17.343'], '16,523')
('SU004104кг', ['21,00', '181.596'], '172,986')
('SU004106кг', ['3,00', '25.636'], '24,406')
('SU002252шт', ['22,00', '44.396'], '132,000')
('SU001051кг', ['33,00', '297.418'], '281,512')
('SU000227кг', ['23,00', '211.468'], '202,038')
('SU001430кг', ['13,00', '119.174'], '112,908')
('SU001921кг', ['14,00', '41.636'], '38,388')
('SU001920кг', ['3,00', '9.415'], '8,671')
('SU001869шт', ['10,00', '28.100'], '150,000')
('SU002841шт', ['14,00', '30.800'], '280,000')
('SU002840шт', ['7,00', '15.400'], '140,000')
('SU004145шт', ['42,00', '147.000'], '504,000')
('SU003167шт', ['10,00', '23.180'], '60,000')
('SU003168шт', ['2,00', '4.636'], '12,000')
('SU004131кг', ['14,00', '217.114'], '210,534')
('SU003422кг', ['34,00', '525.008'], '509,028')
('SU004238кг', ['27,00', '417.982'], '405,292')
('SU000246кг', ['3,00', '29.690'], '28,244')
('SU002205шт', ['7,00', '18.410'], '42,000')
('SU002011кг', ['17,00', '95.566'], '90,075')
('SU002634кг', ['23,00', '124.830'], '117,010')
('SU002010кг', ['114,00', '641.850'], '603,090')
('SU002035кг', ['75,00', '420.067'], '395,242')
('SU002158кг', ['45,00', '252.940'], '237,190')

ООО НВ Тс169381-26 12.08.2026 Бердянск 5583кг (Сарва).pdf
('SU002829кг', ['3,00', '34.193'], '32,963')
('SU002828кг', ['1,00', '11.262'], '10,852')
('SU002835кг', ['20,00', '170.684'], '161,044')
('SU002354шт', ['8,00', '16.000'], '80,000')
('SU001523кг', ['46,00', '400.609'], '378,437')
('SU001718шт', ['3,00', '8.790'], '18,000')
('SU003745шт', ['11,00', '15.180'], '110,000')
('SU002833кг', ['4,00', '45.084'], '43,444')
('SU002735шт', ['8,00', '20.560'], '48,000')
('SU001721кг', ['47,00', '408.835'], '386,181')
