ООО ЛП Тс172773-26 16.08.2026 Сочи 2385кг (Грушецкий).pdf
('SU002831шт', ['10,00', '41.900'], '100,000')
('SU002828кг', ['10,00', '112.138'], '108,038')
('SU002814шт', ['10,00', '28.700'], '60,000')
('SU002830кг', ['10,00', '113.713'], '109,613')
('SU001523кг', ['8,00', '46.094'], '42,910')
('SU004041кг', ['5,00', '18.795'], '17,645')
('SU004008кг', ['5,00', '55.395'], '53,345')
('SU003387кг', ['10,00', '113.095'], '108,995')
('SU004007кг', ['8,00', '90.897'], '87,617')
('SU001820кг', ['10,00', '44.933'], '42,673')
('SU001822кг', ['4,00', '18.310'], '17,550')
('SU003333шт', ['10,00', '32.420'], '60,000')
('SU000227кг', ['10,00', '84.885'], '80,065')
('SU001430кг', ['5,00', '46.418'], '43,408')
('SU003167шт', ['10,00', '23.180'], '60,000')
('SU003423кг', ['48,00', '743.450'], '722,666')
('SU004238кг', ['48,00', '751.521'], '728,961')
('SU002010кг', ['5,00', '28.200'], '26,500')
('SU002035кг', ['5,00', '27.933'], '26,183')
('SU002809кг', ['12,00', '53.793'], '51,513')

ООО ЛП Тс172769-26 16.08.2026 Сочи 4203кг (Грушецкий).pdf
('SU000341шт', ['1,00', '2.756'], '6,000')
('SU004016шт', ['1,00', '2.030'], '6,000')
('SU003665шт', ['1,00', '2.030'], '6,000')
('SU004073шт', ['1,00', '2.222'], '6,000')
('SU004125шт', ['1,00', '2.234'], '6,000')
('SU004134шт', ['1,00', '2.282'], '6,000')
('SU000722кг', ['15,00', '168.475'], '162,345')
('SU001485шт', ['7,00', '29.330'], '70,000')
('SU003642кг', ['2,00', '22.255'], '21,475')
('SU002829кг', ['5,00', '56.433'], '54,383')
('SU002674шт', ['3,00', '14.970'], '24,000')
('SU003033шт', ['2,00', '4.500'], '12,000')
('SU002815шт', ['5,00', '23.450'], '50,000')
('SU002828кг', ['15,00', '168.450'], '162,300')
('SU002814шт', ['10,00', '28.700'], '60,000')
('SU002825шт', ['1,00', '2.036'], '6,000')
('SU003288шт', ['1,00', '2.030'], '6,000')
('SU002835кг', ['1,00', '8.502'], '8,020')
('SU002830кг', ['10,00', '113.670'], '109,570')
('SU002816шт', ['5,00', '23.450'], '50,000')
('SU001523кг', ['15,00', '86.659'], '80,689')
('SU001718шт', ['2,00', '5.860'], '12,000')
('SU002769шт', ['1,00', '2.210'], '6,000')
('SU002928кг', ['3,00', '33.502'], '32,203')
('SU002734шт', ['5,00', '23.450'], '50,000')
('SU002827шт', ['2,00', '9.380'], '12,000')
('SU002833кг', ['6,00', '35.338'], '32,878')
('SU002735шт', ['3,00', '7.710'], '18,000')
('SU001720шт', ['2,00', '5.860'], '12,000')
('SU004115шт', ['1,00', '1.562'], '6,000')
('SU004114шт', ['1,00', '2.258'], '9,000')
('SU004197шт', ['2,00', '0.704'], '16,000')
('SU002312шт', ['5,00', '20.950'], '50,000')
('SU004041кг', ['7,00', '26.248'], '24,638')
('SU004237кг', ['3,00', '11.638'], '10,948')
('SU004047кг', ['3,00', '11.402'], '10,712')
('SU004044кг', ['7,00', '26.845'], '25,235')
('SU004042шт', ['5,00', '9.080'], '30,000')
('SU004130шт', ['1,00', '2.750'], '6,000')
('SU004129шт', ['1,00', '2.750'], '6,000')
('SU004053шт', ['1,00', '2.036'], '6,000')
('SU004183шт', ['1,00', '1.296'], '18,000')
('SU004182шт', ['1,00', '1.296'], '18,000')
('SU002756кг', ['6,00', '27.521'], '26,165')
('SU002876кг', ['5,00', '22.836'], '21,850')
('SU002847кг', ['6,00', '27.275'], '25,919')
('SU003997шт', ['5,00', '9.680'], '30,000')
('SU004100шт', ['1,00', '2.422'], '6,000')
('SU004101шт', ['1,00', '2.182'], '6,000')
('SU004102шт', ['1,00', '2.422'], '6,000')
('SU002941кг', ['5,00', '28.422'], '27,172')
('SU002943кг', ['5,00', '28.366'], '27,116')
('SU002945кг', ['5,00', '28.045'], '26,885')
('SU002947кг', ['5,00', '28.362'], '27,112')
('SU002843кг', ['3,00', '25.584'], '24,138')
('SU002845кг', ['3,00', '25.401'], '23,955')
('SU002725кг', ['3,00', '28.256'], '26,810')
('SU002842шт', ['1,00', '2.630'], '6,000')
('SU002618шт', ['1,00', '2.630'], '6,000')
('SU002621шт', ['1,00', '2.630'], '6,000')
('SU002686шт', ['1,00', '2.630'], '6,000')
('SU002844шт', ['1,00', '2.642'], '6,000')
('SU004121шт', ['1,00', '2.630'], '6,000')
('SU004008кг', ['5,00', '55.225'], '53,175')
('SU003387кг', ['10,00', '113.315'], '109,215')
('SU002801шт', ['3,00', '7.890'], '18,000')
('SU002799шт', ['2,00', '5.248'], '12,000')
('SU003999шт', ['5,00', '11.180'], '30,000')
('SU003356шт', ['1,00', '2.448'], '4,000')
('SU002698шт', ['5,00', '9.080'], '30,000')
('SU003942шт', ['5,00', '13.030'], '30,000')
('SU004103кг', ['3,00', '25.914'], '24,684')
('SU004104кг', ['3,00', '25.987'], '24,757')
('SU004106кг', ['3,00', '26.160'], '24,930')
('SU001777кг', ['30,00', '335.197'], '322,897')
('SU004009кг', ['10,00', '111.734'], '107,634')
('SU004007кг', ['10,00', '110.063'], '105,963')
('SU004010шт', ['5,00', '20.950'], '50,000')
('SU003393шт', ['8,00', '33.520'], '80,000')
('SU001820кг', ['10,00', '44.934'], '42,674')
('SU001822кг', ['10,00', '45.646'], '43,746')
('SU002579шт', ['10,00', '22.360'], '60,000')
('SU001727кг', ['1,00', '8.653'], '8,171')
('SU001728кг', ['5,00', '42.748'], '40,338')
('SU003333шт', ['5,00', '16.210'], '30,000')
('SU001051кг', ['8,00', '67.874'], '64,018')
('SU000227кг', ['7,00', '59.596'], '56,222')
('SU001430кг', ['10,00', '92.994'], '88,054')
('SU001921кг', ['3,00', '8.925'], '8,229')
('SU001920кг', ['2,00', '6.078'], '5,582')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU003167шт', ['5,00', '11.590'], '30,000')
('SU004238кг', ['49,00', '748.182'], '725,152')
('SU000126кг', ['48,00', '744.700'], '724,540')
('SU002614кг', ['3,00', '17.054'], '16,304')
('SU002613кг', ['3,00', '17.083'], '16,333')
('SU002285шт', ['3,00', '7.878'], '12,000')
('SU003500шт', ['3,00', '6.936'], '18,000')
('SU002612кг', ['3,00', '17.100'], '16,350')
('SU002604шт', ['3,00', '6.726'], '18,000')
('SU002011кг', ['3,00', '16.833'], '15,855')
('SU004309кг', ['3,00', '16.932'], '15,882')
('SU002634кг', ['3,00', '16.360'], '15,340')
('SU002010кг', ['3,00', '16.940'], '15,920')
('SU002035кг', ['3,00', '16.757'], '15,707')
('SU002150кг', ['3,00', '16.720'], '15,680')
('SU002158кг', ['3,00', '16.870'], '15,820')
('SU002151кг', ['3,00', '16.823'], '15,773')
('SU002809кг', ['6,00', '26.884'], '25,744')

ООО ЛП Тс172770-26 16.08.2026 Сочи 4403кг (Грушецкий).pdf
('SU000722кг', ['8,00', '88.990'], '85,790')
('SU002829кг', ['10,00', '113.100'], '109,000')
('SU002828кг', ['38,00', '425.313'], '409,733')
('SU002830кг', ['5,00', '56.978'], '54,928')
('SU001523кг', ['6,00', '34.715'], '32,327')
('SU002847кг', ['12,00', '54.593'], '51,881')
('SU002941кг', ['15,00', '85.270'], '81,520')
('SU002945кг', ['23,00', '130.042'], '124,706')
('SU003392кг', ['57,00', '634.787'], '611,417')
('SU001820кг', ['8,00', '35.686'], '33,878')
('SU001822кг', ['138,00', '631.094'], '604,154')
('SU002841шт', ['5,00', '11.000'], '100,000')
('SU002368шт', ['10,00', '22.000'], '200,000')
('SU003422кг', ['14,00', '216.558'], '209,978')
('SU003423кг', ['17,00', '262.261'], '254,900')
('SU003420кг', ['80,00', '1.246.941'], '1_209,341')
('SU002612кг', ['2,00', '11.389'], '10,889')
('SU002010кг', ['10,00', '56.190'], '52,790')
('SU002035кг', ['58,00', '323.852'], '303,552')
('SU002150кг', ['2,00', '11.090'], '10,410')
('SU002158кг', ['3,00', '16.840'], '15,790')
('SU002151кг', ['4,00', '22.464'], '21,064')
('SU002809кг', ['20,00', '89.637'], '85,837')

