ООО НВ Тс174049-26 17.08.2026 Мелитополь 6963кг (Воронов).pdf
('SU003598шт', ['112,00', '188.160'], '672,000')
('SU003600шт', ['70,00', '117.600'], '420,000')
('SU003529шт', ['72,00', '520.560'], '720,000')
('SU003677шт', ['112,00', '154.560'], '672,000')
('SU003676шт', ['196,00', '270.480'], '1_176,000')
('SU003593шт', ['28,00', '167.440'], '336,000')
('SU003591шт', ['196,00', '748.720'], '2_352,000')
('SU003607шт', ['196,00', '748.720'], '2_352,000')
('SU003887шт', ['112,00', '347.200'], '1_344,000')
('SU003889шт', ['112,00', '347.200'], '1_344,000')
('SU003892шт', ['112,00', '347.200'], '1_344,000')
('SU003884шт', ['112,00', '347.200'], '1_344,000')
('SU003460шт', ['60,00', '433.800'], '600,000')
('SU004097шт', ['112,00', '194.880'], '672,000')
('SU004032шт', ['112,00', '201.600'], '672,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU003944шт', ['126,00', '407.232'], '1_512,000')
('SU003872шт', ['126,00', '330.120'], '1_512,000')
('SU003596шт', ['70,00', '376.600'], '840,000')
('SU002961шт', ['252,00', '740.880'], '1_512,000')
('SU003020кг', ['72,00', '448.560'], '432,000')

ООО НВ Тс174252-26 17.08.2026 Мелитополь 3276кг (Воронов).pdf
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003677шт', ['28,00', '38.640'], '168,000')
('SU002798кг', ['72,00', '208.800'], '194,400')
('SU003593шт', ['28,00', '167.440'], '336,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU004031шт', ['98,00', '176.400'], '588,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003944шт', ['28,00', '90.496'], '336,000')
('SU003576шт', ['28,00', '90.496'], '336,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003596шт', ['14,00', '75.320'], '168,000')
('SU002961шт', ['28,00', '82.320'], '168,000')
('SU004038шт', ['168,00', '878.640'], '840,000')
('SU003930шт', ['14,00', '41.720'], '168,000')

