ООО НВ Тс179757-26 26.08.2026 Мелитополь 5006кг (Исмаилов).pdf
('SU004022шт', ['12,00', '79.560'], '96,000')
('SU003973шт', ['12,00', '89.160'], '96,000')
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003676шт', ['28,00', '38.640'], '168,000')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU004031шт', ['84,00', '151.200'], '504,000')
('SU004034шт', ['14,00', '25.200'], '84,000')
('SU004097шт', ['42,00', '73.080'], '252,000')
('SU004032шт', ['42,00', '75.600'], '252,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU004226шт', ['28,00', '90.160'], '336,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '75.320'], '168,000')
('SU002961шт', ['28,00', '82.320'], '168,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU004038шт', ['132,00', '690.360'], '660,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003010кг', ['120,00', '627.600'], '600,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

ООО НВ Тс179774-26 26.08.2026 Бердянск 8996кг (Исмаилов).pdf
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003598шт', ['168,00', '282.240'], '1_008,000')
('SU003600шт', ['84,00', '141.120'], '504,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['60,00', '433.800'], '600,000')
('SU003385шт', ['84,00', '607.320'], '840,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU002595кг', ['264,00', '1.376.232'], '1_320,000')
('SU003593шт', ['14,00', '83.720'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['56,00', '173.600'], '672,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['14,00', '53.620'], '140,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['120,00', '867.600'], '1_200,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU004031шт', ['84,00', '151.200'], '504,000')
('SU004034шт', ['28,00', '50.400'], '168,000')
('SU004097шт', ['42,00', '73.080'], '252,000')
('SU003578шт', ['74,00', '238.280'], '888,000')
('SU003578шт', ['38,00', '122.360'], '456,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003944шт', ['56,00', '180.992'], '672,000')
('SU004226шт', ['84,00', '270.480'], '1_008,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['28,00', '150.640'], '336,000')
('SU002961шт', ['70,00', '205.800'], '420,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU004038шт', ['36,00', '188.280'], '180,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003010кг', ['60,00', '313.800'], '300,000')

