ООО НВ ЮТс-04097-26 25.08.2026 Луганск 5540кг (Васильченко).pdf
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003973шт', ['12,00', '89.160'], '96,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003892шт', ['84,00', '260.400'], '1_008,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['42,00', '160.860'], '420,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU004031шт', ['84,00', '151.200'], '504,000')
('SU004097шт', ['56,00', '97.440'], '336,000')
('SU004032шт', ['28,00', '50.400'], '168,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003944шт', ['28,00', '90.496'], '336,000')
('SU004226шт', ['28,00', '90.160'], '336,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002961шт', ['70,00', '205.800'], '420,000')
('SU000197кг', ['72,00', '374.400'], '360,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['204,00', '1.066.920'], '1_020,000')
('SU004361кг', ['32,00', '124.160'], '118,400')
('SU003448кг', ['84,00', '267.120'], '252,000')
('SU003439кг', ['98,00', '380.240'], '362,600')

