ООО ЛП Тс183542-26 29.08.2026 Сочи 1611кг (Митин).pdf
('SU002830кг', ['3,00', '28.136'], '26,966')
('SU001523кг', ['4,00', '23.084'], '21,492')
('SU002847кг', ['12,00', '55.112'], '52,400')
('SU002945кг', ['19,00', '107.415'], '103,007')
('SU001822кг', ['94,00', '427.359'], '406,115')
('SU000227кг', ['4,00', '33.672'], '31,744')
('SU003420кг', ['48,00', '739.658'], '717,098')
('SU002612кг', ['3,00', '17.101'], '16,351')
('SU002634кг', ['7,00', '38.173'], '35,723')
('SU002010кг', ['10,00', '56.116'], '52,616')
('SU002035кг', ['19,00', '107.002'], '100,352')
('SU002150кг', ['3,00', '16.927'], '15,877')
('SU002158кг', ['6,00', '33.605'], '31,595')

ООО ЛП Тс183562-26 29.08.2026 Сочи 4208кг (Митин).pdf
('SU000341шт', ['1,00', '2.750'], '6,000')
('SU004016шт', ['1,00', '2.030'], '6,000')
('SU003665шт', ['1,00', '2.030'], '6,000')
('SU004073шт', ['1,00', '2.222'], '6,000')
('SU004125шт', ['1,00', '2.234'], '6,000')
('SU004132шт', ['1,00', '2.282'], '6,000')
('SU004134шт', ['1,00', '2.282'], '6,000')
('SU000722кг', ['15,00', '167.158'], '161,008')
('SU001485шт', ['7,00', '29.330'], '70,000')
('SU003642кг', ['3,00', '33.890'], '32,660')
('SU002829кг', ['5,00', '55.560'], '53,610')
('SU002674шт', ['3,00', '14.970'], '24,000')
('SU003033шт', ['2,00', '4.540'], '12,000')
('SU002815шт', ['5,00', '23.450'], '50,000')
('SU002828кг', ['15,00', '166.950'], '160,350')
('SU002814шт', ['10,00', '28.700'], '60,000')
('SU002825шт', ['1,00', '2.036'], '6,000')
('SU003288шт', ['1,00', '2.030'], '6,000')
('SU002835кг', ['1,00', '8.062'], '7,580')
('SU002830кг', ['10,00', '112.402'], '108,302')
('SU002816шт', ['5,00', '23.450'], '50,000')
('SU001523кг', ['16,00', '92.465'], '86,097')
('SU001718шт', ['2,00', '5.860'], '12,000')
('SU002769шт', ['1,00', '2.210'], '6,000')
('SU002928кг', ['3,00', '33.463'], '32,233')
('SU002734шт', ['5,00', '23.450'], '50,000')
('SU002827шт', ['2,00', '9.380'], '12,000')
('SU002833кг', ['6,00', '35.109'], '32,649')
('SU002735шт', ['3,00', '7.710'], '18,000')
('SU001721кг', ['10,00', '86.184'], '81,364')
('SU001720шт', ['2,00', '5.884'], '12,000')
('SU003336шт', ['1,00', '2.042'], '6,000')
('SU004115шт', ['1,00', '1.562'], '6,000')
('SU004113шт', ['1,00', '1.562'], '6,000')
('SU004114шт', ['1,00', '1.562'], '6,000')
('SU004197шт', ['2,00', '0.704'], '16,000')
('SU004155шт', ['3,00', '8.250'], '18,000')
('SU002312шт', ['5,00', '20.950'], '50,000')
('SU004237кг', ['3,00', '11.588'], '10,898')
('SU004047кг', ['3,00', '11.485'], '10,795')
('SU004044кг', ['7,00', '26.980'], '25,370')
('SU004039шт', ['5,00', '9.080'], '30,000')
('SU004045шт', ['5,00', '9.080'], '30,000')
('SU004042шт', ['5,00', '9.080'], '30,000')
('SU004129шт', ['1,00', '2.750'], '6,000')
('SU004053шт', ['1,00', '2.036'], '6,000')
('SU004183шт', ['1,00', '1.296'], '18,000')
('SU002756кг', ['6,00', '27.576'], '26,256')
('SU002847кг', ['6,00', '27.475'], '26,119')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU004102шт', ['1,00', '2.422'], '6,000')
('SU002943кг', ['5,00', '28.241'], '26,991')
('SU002945кг', ['5,00', '28.290'], '27,130')
('SU002947кг', ['5,00', '28.613'], '27,363')
('SU002944шт', ['5,00', '9.680'], '30,000')
('SU002843кг', ['3,00', '25.557'], '24,111')
('SU002845кг', ['3,00', '25.582'], '24,136')
('SU002725кг', ['3,00', '27.637'], '26,191')
('SU002842шт', ['1,00', '2.630'], '6,000')
('SU002618шт', ['1,00', '2.642'], '6,000')
('SU002621шт', ['1,00', '2.636'], '6,000')
('SU002686шт', ['1,00', '2.630'], '6,000')
('SU002844шт', ['1,00', '2.642'], '6,000')
('SU004121шт', ['1,00', '2.630'], '6,000')
('SU004008кг', ['5,00', '55.785'], '53,735')
('SU003387кг', ['2,00', '22.274'], '21,454')
('SU003387кг', ['8,00', '89.850'], '86,930')
('SU002801шт', ['3,00', '7.890'], '18,000')
('SU002799шт', ['3,00', '7.872'], '18,000')
('SU003999шт', ['5,00', '11.180'], '30,000')
('SU003356шт', ['1,00', '2.440'], '4,000')
('SU003942шт', ['5,00', '13.030'], '30,000')
('SU004103кг', ['3,00', '26.025'], '24,795')
('SU004104кг', ['3,00', '25.756'], '24,526')
('SU004106кг', ['3,00', '26.143'], '24,913')
('SU001777кг', ['31,00', '343.415'], '330,715')
('SU004009кг', ['10,00', '111.205'], '107,205')
('SU004007кг', ['10,00', '112.422'], '108,412')
('SU004010шт', ['5,00', '20.950'], '50,000')
('SU003393шт', ['8,00', '33.520'], '80,000')
('SU001822кг', ['10,00', '45.529'], '43,269')
('SU001801кг', ['5,00', '22.891'], '21,761')
('SU002579шт', ['10,00', '22.360'], '60,000')
('SU001727кг', ['5,00', '42.022'], '39,612')
('SU001728кг', ['5,00', '42.301'], '39,891')
('SU003333шт', ['5,00', '16.210'], '30,000')
('SU000227кг', ['7,00', '58.758'], '55,384')
('SU001430кг', ['10,00', '91.082'], '86,262')
('SU001921кг', ['3,00', '9.036'], '8,340')
('SU001920кг', ['2,00', '6.330'], '5,834')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU003167шт', ['5,00', '11.590'], '30,000')
('SU003168шт', ['5,00', '11.590'], '30,000')
('SU004238кг', ['48,00', '745.878'], '723,318')
('SU000126кг', ['48,00', '744.499'], '721,939')
('SU000246кг', ['1,00', '9.474'], '8,992')
('SU002074кг', ['2,00', '19.246'], '18,282')
('SU002614кг', ['3,00', '17.063'], '16,313')
('SU002613кг', ['3,00', '17.120'], '16,370')
('SU002285шт', ['3,00', '7.878'], '12,000')
('SU003500шт', ['3,00', '6.936'], '18,000')
('SU002612кг', ['3,00', '17.146'], '16,396')
('SU002604шт', ['3,00', '6.726'], '18,000')
('SU002011кг', ['3,00', '16.828'], '15,844')
('SU004309кг', ['3,00', '16.877'], '15,827')
('SU002634кг', ['3,00', '16.356'], '15,306')
('SU002010кг', ['3,00', '16.783'], '15,733')
('SU002035кг', ['3,00', '16.852'], '15,802')
('SU002150кг', ['3,00', '16.862'], '15,812')
('SU002158кг', ['3,00', '16.790'], '15,785')
('SU002151кг', ['3,00', '16.790'], '15,740')

ООО ЛП Тс183556-26 29.08.2026 Сочи 6481кг (Митин).pdf
('SU000722кг', ['10,00', '111.401'], '107,301')
('SU001485шт', ['10,00', '41.900'], '100,000')
('SU002829кг', ['64,00', '714.015'], '688,435')
('SU002831шт', ['10,00', '41.900'], '100,000')
('SU002828кг', ['15,00', '167.780'], '161,180')
('SU002814шт', ['10,00', '28.700'], '60,000')
('SU001523кг', ['23,00', '132.178'], '123,024')
('SU001721кг', ['15,00', '129.680'], '122,450')
('SU004237кг', ['10,00', '38.778'], '36,478')
('SU003387кг', ['10,00', '111.285'], '107,185')
('SU001777кг', ['64,00', '715.790'], '690,190')
('SU004009кг', ['10,00', '111.590'], '107,590')
('SU003393шт', ['10,00', '41.900'], '100,000')
('SU001822кг', ['15,00', '68.899'], '65,521')
('SU002579шт', ['5,00', '11.180'], '30,000')
('SU003333шт', ['5,00', '16.210'], '30,000')
('SU000227кг', ['15,00', '125.876'], '118,646')
('SU004291кг', ['7,00', '60.341'], '56,967')
('SU004292кг', ['7,00', '56.897'], '53,523')
('SU003167шт', ['5,00', '11.590'], '30,000')
('SU003168шт', ['5,00', '11.590'], '30,000')
('SU003423кг', ['48,00', '743.880'], '721,320')
('SU003420кг', ['96,00', '1.498.127'], '1_453,007')
('SU000126кг', ['41,00', '634.600'], '615,330')
('SU000126кг', ['55,00', '851.650'], '828,200')
('SU000246кг', ['2,00', '18.536'], '17,572')
('SU002634кг', ['11,00', '59.929'], '56,079')
('SU002010кг', ['10,00', '56.066'], '52,566')
('SU002035кг', ['10,00', '56.022'], '52,522')
('SU002151кг', ['10,00', '55.990'], '52,490')

