ООО КСК ТРЕЙД ЮТс-04202-26 01.09.2026 Крым 15789кг (Добыш).pdf
('SU004022шт', ['24,00', '159.120'], '192,000')
('SU003975шт', ['24,00', '178.320'], '192,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003385шт', ['84,00', '607.320'], '840,000')
('SU003530шт', ['12,00', '79.560'], '192,000')
('SU003529шт', ['120,00', '867.600'], '1_200,000')
('SU003677шт', ['14,00', '19.320'], '84,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['240,00', '1.251.120'], '1_200,000')
('SU003593шт', ['14,00', '83.720'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU004207шт', ['112,00', '347.200'], '1_344,000')
('SU004257шт', ['14,00', '50.120'], '168,000')
('SU003884шт', ['112,00', '347.200'], '1_344,000')
('SU003717шт', ['60,00', '433.800'], '600,000')
('SU004078шт', ['12,00', '79.560'], '192,000')
('SU003527шт', ['48,00', '318.240'], '768,000')
('SU003460шт', ['216,00', '1.561.680'], '2_160,000')
('SU003698шт', ['60,00', '433.800'], '600,000')
('SU003528шт', ['60,00', '397.800'], '960,000')
('SU003459шт', ['216,00', '1.561.680'], '2_160,000')
('SU003845шт', ['12,00', '74.760'], '120,000')
('SU004034шт', ['28,00', '50.400'], '168,000')
('SU004097шт', ['56,00', '97.440'], '336,000')
('SU004032шт', ['112,00', '201.600'], '672,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU004234шт', ['182,00', '586.040'], '2_184,000')
('SU003944шт', ['14,00', '45.248'], '168,000')
('SU004226шт', ['84,00', '270.480'], '1_008,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003596шт', ['14,00', '75.320'], '168,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU004038шт', ['132,00', '690.360'], '660,000')
('SU003797шт', ['140,00', '450.800'], '1_680,000')
('SU003800шт', ['112,00', '360.640'], '1_344,000')
('SU003795шт', ['112,00', '360.640'], '1_344,000')
('SU004023шт', ['14,00', '41.720'], '168,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU003020кг', ['168,00', '1.046.640'], '1_008,000')
('SU003010кг', ['156,00', '815.880'], '780,000')
('SU003025кг', ['28,00', '67.760'], '62,720')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['84,00', '267.120'], '252,000')

