ООО НВ Тс186086-26 02.09.2026 Донецк 8122кг (Решетов).pdf
('SU003598шт', ['98,00', '164.640'], '588,000')
('SU003600шт', ['84,00', '141.120'], '504,000')
('SU003593шт', ['28,00', '167.440'], '336,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU004207шт', ['98,00', '303.800'], '1_176,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU004210шт', ['84,00', '260.400'], '1_008,000')
('SU004258шт', ['28,00', '124.656'], '224,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003527шт', ['60,00', '397.800'], '960,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003528шт', ['60,00', '397.800'], '960,000')
('SU003459шт', ['108,00', '780.840'], '1_080,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU004226шт', ['70,00', '225.400'], '840,000')
('SU003872шт', ['70,00', '183.400'], '840,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['14,00', '75.320'], '168,000')
('SU003601шт', ['126,00', '234.360'], '756,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU004361кг', ['227,00', '880.760'], '839,900')
('SU003434кг', ['84,00', '481.320'], '462,000')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['252,00', '977.760'], '932,400')

ООО НВ Тс185898-26 02.09.2026 Донецк 4922кг (Решетов).pdf
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003600шт', ['140,00', '235.200'], '840,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['140,00', '434.000'], '1_680,000')
('SU003717шт', ['168,00', '1.214.640'], '1_680,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003944шт', ['70,00', '226.240'], '840,000')
('SU004226шт', ['70,00', '225.400'], '840,000')
('SU003601шт', ['140,00', '260.400'], '840,000')
('SU003797шт', ['140,00', '450.800'], '1_680,000')
('SU003935шт', ['84,00', '439.320'], '420,000')

