ООО НВ Тс191198-26 07.09.2026 Луганск 9752кг (Жабкин).pdf
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['140,00', '434.000'], '1_680,000')
('SU004207шт', ['140,00', '434.000'], '1_680,000')
('SU004210шт', ['210,00', '651.000'], '2_520,000')
('SU004097шт', ['14,00', '24.360'], '84,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU004032шт', ['14,00', '25.200'], '84,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['210,00', '676.200'], '2_520,000')
('SU004034шт', ['14,00', '25.200'], '84,000')
('SU004226шт', ['70,00', '225.400'], '840,000')
('SU004223шт', ['70,00', '225.400'], '840,000')
('SU003797шт', ['70,00', '225.400'], '840,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['70,00', '225.400'], '840,000')
('SU003020кг', ['168,00', '1.046.640'], '1_008,000')
('SU003010кг', ['168,00', '878.640'], '840,000')
('SU004361кг', ['340,00', '1.319.200'], '1_258,000')
('SU003434кг', ['168,00', '962.640'], '924,000')
('SU003439кг', ['504,00', '1.955.520'], '1_864,800')

ООО НВ Тс191187-26 07.09.2026 Луганск 1257кг (Жабкин).pdf
('SU004022шт', ['84,00', '556.920'], '672,000')
('SU004038шт', ['144,00', '753.120'], '720,000')

ООО ЛП ЮТс-04330-26 07.09.2026 Сочи 2026кг (Жабкин).pdf
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['36,00', '209.880'], '288,000')
('SU003828шт', ['36,00', '209.880'], '288,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU004210шт', ['84,00', '260.400'], '1_008,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU004034шт', ['56,00', '100.800'], '336,000')
('SU004032шт', ['56,00', '100.800'], '336,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU004226шт', ['84,00', '270.480'], '1_008,000')
('SU003797шт', ['14,00', '45.080'], '168,000')

