ООО НВ ЮТс-04498-26 17.09.2026 Бердянск 10851кг (Коновалов).pdf
('SU004022шт', ['12,00', '79.560'], '96,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003600шт', ['84,00', '141.120'], '504,000')
('SU003826шт', ['48,00', '279.840'], '384,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003385шт', ['84,00', '607.320'], '840,000')
('SU003529шт', ['48,00', '347.040'], '480,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['348,00', '1.814.124'], '1_740,000')
('SU003593шт', ['28,00', '167.440'], '336,000')
('SU003591шт', ['84,00', '320.880'], '1_008,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU004207шт', ['70,00', '217.000'], '840,000')
('SU004257шт', ['28,00', '100.240'], '336,000')
('SU004210шт', ['56,00', '173.600'], '672,000')
('SU004258шт', ['28,00', '124.656'], '224,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['108,00', '780.840'], '1_080,000')
('SU003459шт', ['168,00', '1.214.640'], '1_680,000')
('SU004031шт', ['112,00', '201.600'], '672,000')
('SU004034шт', ['28,00', '50.400'], '168,000')
('SU004097шт', ['56,00', '97.440'], '336,000')
('SU004032шт', ['42,00', '75.600'], '252,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU004230шт', ['70,00', '225.400'], '840,000')
('SU004226шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['56,00', '146.720'], '672,000')
('SU004219шт', ['14,00', '36.680'], '168,000')
('SU004223шт', ['28,00', '90.160'], '336,000')
('SU003601шт', ['126,00', '234.360'], '756,000')
('SU004038шт', ['24,00', '125.520'], '120,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003935шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['36,00', '260.280'], '360,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU004361кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ Тс197117-26 17.09.2026 Мелитополь 3746кг (Коновалов).pdf
('SU004022шт', ['48,00', '318.240'], '384,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU004257шт', ['28,00', '100.240'], '336,000')
('SU004258шт', ['42,00', '186.984'], '336,000')
('SU003459шт', ['60,00', '433.800'], '600,000')
('SU004031шт', ['14,00', '25.200'], '84,000')
('SU004097шт', ['14,00', '24.360'], '84,000')
('SU004230шт', ['14,00', '45.080'], '168,000')
('SU004219шт', ['14,00', '36.680'], '168,000')
('SU004223шт', ['14,00', '45.080'], '168,000')
('SU004038шт', ['144,00', '753.120'], '720,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003010кг', ['132,00', '690.360'], '660,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

