1 	Филейская Классическая вязанка 000 Стародворские колбасы 	86б 	кг 
2 	Колбаса Стародворская Традиционная Стародворские колбасы 	Б30 	кг 
3 	Сосиски Ганноверские по-Стародворски 	1590 	кг 
4 	Особая Докторская 2,65кг сетка Зареченские колбасы 	750 	кг 
5 	Ветчина нежная ОСОБАЯ Зареченские колбасы 2,бкг БАТОН 	1140 	кг 
6 	Сервелат Кремлевский в/к Стародворские колбасы 	243 	кг 
7 	Сочинка по-европейски с соч. груд. 	50 	кг 
8 	Балыкбургская с копченым балыком 0,35кг 	б 	шт. 
9 	ДУГУШКА Ветчина Стародворские колбасы 	145 	кг 
10	 Ветчина Нежная Особая 0,4кг Стародворские колбасы 	10 	шт. 
11 	Филейская Вязанка Ветчина Столичная 0,45кг Стародворские колбасы 	180 	шт. 
12 	Филейская Ветчина Столичная Стародворская 	390 	кг 
13 	ГОСТ Докторская вязанка 0,4кг Стародворские колбасы 	80 	шт. 
14 	ГОСТ Докторская вязанка Стародворские колбасы 	60 	кг 
15 	ДУГУШКА Докторская вар. ГОСТ Стародворские колбасы 	75 	кг 
16 	ДУГУШКА Докторская вар. ТУ Стародворские колбасы 	10 	кг 
17 	Колбаса Стародворская Традиционная п/а 400 г ТМ Стародворье 	13б 	шт. 
18 	ОСОБАЯ ДОКТОРСКАЯ вар. 0,5кг Стародворские колбасы 	10 	шт. 
19 	Филедворская по-стародворски 0,4кг ТМ Стародворские колбасы 	50 	шт. 
20 	Филедворская по-стародворски п/а (Стародвор) 	190 	кг 
21 	Филейская Вязанка Классичечкая 0,45кг Стародворские колбасы 	550 	шт. 
22 	Вязанка Молокушка 045кг Стародворские колбасы 	60 	шт. 
23 	Молочная Традиционная п/а 400г Стародворские колбасы 	40 	шт. 
24 	Молочная Традиционная Стародворские колбасы 	140 	кг 
25 	ДУГУШКА Молочная вар.Стародворские колбасы 	15 	кг 
26 	Особая МОЛОЧНАЯ вар. Зареченские колбасы 	115 	кг 
27 	Молочная Фирменная вар. 0,5кг Стародворские колбасы 	40 	шт. 
28 	Молочная по-стародворски вар п/а Стародворские колбасы 	50 	кг 
29 	Колбаса вареная Мусульманская хапяль 0,4 кг (СТМ Вязанка) КХ Стародворские колбаы 	28 	шт. 
30 	Нежная вар. ЭК 	10 	кг 
31 	Особая 2,65кг вар сетка Зареченские колбасы 	715 	кг 
З2 	ДУГУШКА Рубленая п/к Стародворские колбасы 	З0 	кг 
З3 	Стародворская традиционная со шпиком п/а(Стародворские колбасы) 	170 	кг 
34 	Филедворская со шпиком по-стародворски п/а(Старод) 	10 	кг 
35 	ДУГУШКА Салями запечеченая ТМ Стародворье 	25 	кг 
36 	Сардельки Мясные Говяжьи Стародворские колбасы 	238 	кг 
37 	Сервелат Зернистый п/к Стародворские колбасы 	100 	кг 
38 	Сервелат Пражский в/к ТМ Колбасный стандарт Стародворские колбасы 	44 	кг 
39 	Сервелат Рижский п/к ТМ Колбасный стандарт Стародворские колбасы 	145 	кг 
40 	ДУГУШКА Сервелат в/к Стародворские колбасы 	40 	кг 
41 	Мини Сервелат Кремлевский 0,35 Стародворские колбасы 	144 	шт. 
42 	Сервелат Филедворский 0,35кг Стародворские колбасы 	18 	шт. 
43 	Сервелат Филейбургский с филе сочного окорока 0,35кг 	12 	шт. 
44 	Сервелат Филейбургский с ароматными пряностями 0.З5кг 	6 	шт. 
45 	Сливушка п/а 0,375 	10 	шт. 
46 	Сливушка Вязанка вар. Стародворские колбасы 	10 	кг 
47 	Дуryшка со шпиком 	10 	кг 
48 	Сосиски Баварские Стародворские колбасы 	36 	кг 
49 	Сосиски Баварские с сыром 0,42 	160 	шт. 
50 	Сосиски БАВАРСКИЕ 0,42кг Стародворье 	168 	шт. 
51 	Ганноверские сосиски 0,6кг Стародворье 	12 	шт 
52 	Сосиски Вязанка Молочные Стародворские колбасы 	98 	кг 
5З 	Сосиски Сливочные вязанка 0.45 кг 	46 	шт. 
54 	Сосиски Сочинки Молочные 0,4кг Стародворские колбасы 	35 	шт. 
55 	Швейцарская с/к 0,17кг Стародворские колбасы 	15 	шт. 
56 	Шпикачки Стародворские н/о 	83 	кг 
57 	Балыковая в/к фиброуз в/у термо Стародворские колбасы 	35 	кг 
58 	Вязанка Молокушка Стародворскме колбасы 	70 	кг 
59 	Мясорубская в/к 	24 	кг 
60 	Сосиски Молочные Вязанка 0,45 кг Стародворские колбасы 	36 	шт. 
Б1 	СОСИСКИ Сочинки С СОЧНОЙ грудинкой О,45 КГ 	21 	шт. 
62 	Колбаса Вязанка со шпиком вар. 	30 	кг 
63 	Мясорубская 0,35 кг 	12 	шт. 
64 	Сервелат Столичный вязанка в/к в/у термо Стародворские колбасы 	15 	кг 
65 	Сосиски Датские Стародворские колбасы 	30 	кг 
66 	Сосиски Рубленые вязанка Стародворские колбасы 	г0 	кг 
67 	Сосиски Сливочные вязанка Стародворские колбасы 	30 	кг 
68 	Сосиски Сочинки с окорокам 0,45 кг 	20 	шт. 
69 	Сосиски Сочинки Сливочные 0,4кг Стародворскме колбасы 	20 	шт. 
70 	Сочинка Зернистая 	30 	кг 
71 	Сочинка по-фински с сочным окороком 	20 	кг 
72 	Сочинка Рубленная 	30 	кг 
