ООО НВ Тс091685-25 06.05.2025 Галямову 7121кг.pdf
('SU003598шт', ['84,00', '141.120'], '504,000')
('SU003600шт', ['98,00', '164.640'], '588,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['108,00', '563.004'], '540,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU002425шт', ['42,00', '160.440'], '504,000')
('SU002426шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['36,00', '119.160'], '792,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003727шт', ['28,00', '80.080'], '336,000')
('SU003578шт', ['112,00', '360.640'], '1_344,000')
('SU003580шт', ['126,00', '405.720'], '1_512,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002176шт', ['12,00', '21.600'], '96,000')
('SU002177шт', ['18,00', '38.160'], '144,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003797шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003454кг', ['112,00', '434.560'], '414,400')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['56,00', '178.080'], '168,000')
('SU003439кг', ['182,00', '706.160'], '673,400')

ООО НВ Тс091692-25 06.05.2025 Галямову 5067кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003386шт', ['12,00', '79.560'], '192,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU002425шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['24,00', '79.440'], '528,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['96,00', '694.080'], '960,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['42,00', '78.120'], '252,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['36,00', '188.280'], '180,000')

