ООО КСК ТРЕЙД Тс095144-25 10.05.2025 Матлаш 17577кг.pdf
('SU000722кг', ['14,00', '157.171'], '151,081')
('SU001485шт', ['60,00', '252.600'], '600,000')
('SU002829кг', ['10,00', '112.041'], '107,691')
('SU002815шт', ['130,00', '612.300'], '1_300,000')
('SU002828кг', ['6,00', '67.424'], '64,814')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU002835кг', ['7,00', '59.336'], '55,115')
('SU002830кг', ['19,00', '212.829'], '204,564')
('SU002816шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['22,00', '189.788'], '178,634')
('SU001718шт', ['200,00', '588.000'], '1_200,000')
('SU002928кг', ['6,00', '67.401'], '64,791')
('SU002734шт', ['100,00', '471.000'], '1_000,000')
('SU001721кг', ['85,00', '752.763'], '709,668')
('SU001720шт', ['200,00', '588.000'], '1_200,000')
('SU003336шт', ['27,00', '55.404'], '162,000')
('SU002367шт', ['7,00', '15.792'], '42,000')
('SU002983шт', ['22,00', '74.800'], '176,000')
('SU002985шт', ['9,00', '27.504'], '72,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['17,00', '76.649'], '72,365')
('SU002876кг', ['5,00', '22.818'], '21,558')
('SU002847кг', ['20,00', '90.617'], '85,577')
('SU002660шт', ['34,00', '76.024'], '204,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU002848шт', ['117,00', '261.612'], '702,000')
('SU003893шт', ['12,00', '17.712'], '216,000')
('SU003894шт', ['12,00', '17.712'], '216,000')
('SU003896шт', ['12,00', '17.712'], '216,000')
('SU002941кг', ['29,00', '148.213'], '140,383')
('SU002943кг', ['14,00', '71.964'], '68,184')
('SU002945кг', ['32,00', '163.005'], '154,941')
('SU002947кг', ['15,00', '76.716'], '72,666')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002725кг', ['19,00', '173.512'], '163,879')
('SU002842шт', ['134,00', '345.720'], '804,000')
('SU002618шт', ['117,00', '307.260'], '702,000')
('SU002686шт', ['34,00', '89.490'], '204,000')
('SU002844шт', ['117,00', '308.880'], '702,000')
('SU002759шт', ['15,00', '39.600'], '90,000')
('SU002758шт', ['12,00', '31.680'], '72,000')
('SU003273кг', ['5,00', '60.271'], '58,096')
('SU003275кг', ['1,00', '12.127'], '11,692')
('SU003271кг', ['5,00', '59.884'], '57,709')
('SU003274шт', ['2,00', '8.420'], '20,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU003921шт', ['3,00', '7.290'], '54,000')
('SU003925шт', ['12,00', '14.040'], '216,000')
('SU003924шт', ['12,00', '15.120'], '216,000')
('SU003920шт', ['12,00', '27.648'], '216,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002799шт', ['117,00', '308.880'], '702,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU001051кг', ['5,00', '42.167'], '39,632')
('SU000227кг', ['45,00', '375.636'], '352,821')
('SU001430кг', ['2,00', '18.490'], '17,476')
('SU002252шт', ['10,00', '20.280'], '60,000')
('SU003167шт', ['300,00', '700.200'], '1_800,000')
('SU003168шт', ['167,00', '390.780'], '1_002,000')
('SU003422кг', ['67,00', '1.038.063'], '1_005,903')
('SU003423кг', ['67,00', '1.032.349'], '1_000,189')
('SU003420кг', ['141,00', '2.180.732'], '2_113,052')
('SU000251кг', ['20,00', '310.286'], '300,686')
('SU003421шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['101,00', '1.561.705'], '1_513,225')
('SU002287кг', ['4,00', '37.059'], '35,031')
('SU003425кг', ['3,00', '37.456'], '36,151')
('SU002074кг', ['3,00', '28.363'], '26,842')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['7,00', '15.652'], '42,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['17,00', '24.480'], '102,000')
('SU002011кг', ['19,00', '106.731'], '99,891')
('SU002634кг', ['24,00', '131.629'], '122,989')
('SU002010кг', ['29,00', '163.519'], '153,079')
('SU002632шт', ['21,00', '105.210'], '168,000')
('SU002631шт', ['19,00', '72.390'], '114,000')
('SU002631шт', ['23,00', '115.920'], '184,000')
('SU002035кг', ['19,00', '106.689'], '99,849')
('SU002150кг', ['8,00', '45.052'], '42,172')
('SU002158кг', ['12,00', '67.677'], '63,357')
('SU002151кг', ['23,00', '129.567'], '121,287')
('SU002916шт', ['9,00', '45.090'], '72,000')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['17,00', '85.170'], '136,000')
('SU002655кг', ['89,00', '848.166'], '803,043')

