ООО НВ Тс099572-25 16.05.2025 Медведь 9421кг.pdf
('SU003599шт', ['140,00', '235.200'], '840,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003600шт', ['210,00', '352.800'], '1_260,000')
('SU002708шт', ['84,00', '624.120'], '672,000')
('SU003385шт', ['168,00', '1.214.640'], '1_680,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU003591шт', ['280,00', '1.069.600'], '3_360,000')
('SU003607шт', ['280,00', '1.069.600'], '3_360,000')
('SU002627шт', ['168,00', '1.248.240'], '1_344,000')
('SU003578шт', ['210,00', '676.200'], '2_520,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['280,00', '901.600'], '3_360,000')
('SU003384шт', ['140,00', '450.800'], '1_680,000')
('SU003576шт', ['140,00', '450.800'], '1_680,000')
('SU002436шт', ['70,00', '225.400'], '840,000')
('SU002176шт', ['69,00', '124.200'], '552,000')
('SU003601шт', ['140,00', '260.400'], '840,000')

