ООО ЛП Тс101395-25 18.05.2025 Агамалов 1833кг.pdf
('SU003599шт', ['56,00', '94.080'], '336,000')
('SU002798кг', ['18,00', '52.200'], '48,600')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU002570шт', ['24,00', '79.440'], '528,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003727шт', ['28,00', '80.080'], '336,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['98,00', '315.560'], '1_176,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['28,00', '86.520'], '840,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003012кг', ['28,00', '80.640'], '75,600')

ООО ЛП Тс101537-25 18.05.2025 Агамалов 241кг.pdf
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003727шт', ['28,00', '80.080'], '336,000')

ООО ЛП Тс101412-25 18.05.2025 Агамалов 9794кг.pdf
('SU003599шт', ['70,00', '117.600'], '420,000')
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003530шт', ['12,00', '79.560'], '192,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003609шт', ['56,00', '213.920'], '672,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['84,00', '320.880'], '1_008,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['56,00', '213.920'], '560,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['70,00', '225.400'], '840,000')
('SU000195шт', ['70,00', '225.400'], '840,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU002314кг', ['36,00', '187.200'], '180,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU002532кг', ['24,00', '124.800'], '120,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003145шт', ['12,00', '69.960'], '96,000')
('SU003077шт', ['24,00', '139.920'], '192,000')
('SU003067шт', ['36,00', '209.880'], '288,000')
('SU002069шт', ['24,00', '170.640'], '384,000')
('SU002066шт', ['48,00', '356.640'], '384,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['60,00', '313.800'], '300,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003012кг', ['56,00', '161.280'], '151,200')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003025кг', ['84,00', '203.280'], '188,160')
('SU003454кг', ['112,00', '434.560'], '414,400')
('SU003448кг', ['70,00', '222.600'], '210,000')
('SU003439кг', ['112,00', '434.560'], '414,400')
('SU003442кг', ['42,00', '162.960'], '155,400')
('SU003444кг', ['196,00', '760.480'], '725,200')

