ООО НВ Тс106672-25 26.05.2025 Некрасов 7603кг.pdf
('SU003599шт', ['42,00', '70.560'], '252,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003592шт', ['28,00', '55.440'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003610шт', ['56,00', '110.880'], '336,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003727шт', ['28,00', '80.080'], '336,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['60,00', '349.800'], '480,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003454кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс106688-25 26.05.2025 Некрасов 2646кг.pdf
('SU003598шт', ['84,00', '141.120'], '504,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003610шт', ['56,00', '110.880'], '336,000')
('SU002426шт', ['42,00', '160.440'], '504,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003727шт', ['28,00', '80.080'], '336,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU003010кг', ['84,00', '439.320'], '420,000')

