ООО КСК ТРЕЙД Тс109849-25 31.05.2025 Поляков 17413кг.pdf
('SU000722кг', ['14,00', '156.937'], '150,847')
('SU001485шт', ['90,00', '378.900'], '900,000')
('SU002829кг', ['8,00', '90.024'], '86,544')
('SU002815шт', ['120,00', '565.200'], '1_200,000')
('SU002828кг', ['5,00', '56.374'], '54,199')
('SU002814шт', ['67,00', '192.960'], '402,000')
('SU002835кг', ['2,00', '17.140'], '15,934')
('SU002830кг', ['14,00', '157.068'], '150,978')
('SU002816шт', ['110,00', '518.100'], '1_100,000')
('SU001523кг', ['23,00', '198.545'], '186,884')
('SU001718шт', ['184,00', '543.168'], '1_104,000')
('SU002928кг', ['14,00', '156.917'], '150,827')
('SU002734шт', ['80,00', '376.800'], '800,000')
('SU001721кг', ['25,00', '217.447'], '204,772')
('SU001720шт', ['184,00', '540.960'], '1_104,000')
('SU003336шт', ['34,00', '69.768'], '204,000')
('SU002983шт', ['17,00', '57.800'], '136,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU002756кг', ['17,00', '77.429'], '73,145')
('SU002876кг', ['5,00', '23.052'], '21,792')
('SU002847кг', ['31,00', '141.363'], '133,551')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
('SU003894шт', ['3,00', '4.320'], '54,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['7,00', '36.334'], '34,444')
('SU002943кг', ['14,00', '71.835'], '68,055')
('SU002945кг', ['34,00', '174.410'], '165,842')
('SU002947кг', ['19,00', '97.847'], '92,717')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['42,00', '81.312'], '252,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['42,00', '81.564'], '252,000')
('SU002725кг', ['19,00', '171.111'], '161,478')
('SU002842шт', ['134,00', '348.960'], '804,000')
('SU002618шт', ['117,00', '302.562'], '702,000')
('SU002686шт', ['75,00', '198.000'], '450,000')
('SU002844шт', ['100,00', '264.000'], '600,000')
('SU002759шт', ['10,00', '26.400'], '60,000')
('SU002758шт', ['10,00', '26.400'], '60,000')
('SU003273кг', ['2,00', '24.037'], '23,167')
('SU003271кг', ['11,00', '131.497'], '126,712')
('SU003274шт', ['25,00', '105.250'], '250,000')
('SU003272шт', ['15,00', '63.150'], '150,000')
('SU003920шт', ['2,00', '4.752'], '36,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU003924шт', ['3,00', '3.780'], '54,000')
('SU002801шт', ['59,00', '152.574'], '354,000')
('SU002799шт', ['100,00', '263.400'], '600,000')
('SU002617шт', ['59,00', '131.924'], '354,000')
('SU001051кг', ['3,00', '27.498'], '25,977')
('SU000227кг', ['68,00', '592.142'], '557,666')
('SU001430кг', ['5,00', '44.183'], '41,648')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU002252шт', ['9,00', '18.252'], '54,000')
('SU003167шт', ['350,00', '814.800'], '2_100,000')
('SU003168шт', ['284,00', '661.152'], '1_704,000')
('SU003422кг', ['120,00', '1.858.073'], '1_800,473')
('SU003423кг', ['94,00', '1.454.840'], '1_409,720')
('SU003420кг', ['94,00', '1.457.432'], '1_412,312')
('SU000251кг', ['15,00', '231.789'], '224,589')
('SU000126кг', ['74,00', '1.145.429'], '1_109,909')
('SU000246кг', ['6,00', '56.779'], '53,737')
('SU002287кг', ['3,00', '27.861'], '26,340')
('SU003425кг', ['2,00', '25.014'], '24,144')
('SU003425кг', ['3,00', '37.794'], '36,489')
('SU002614кг', ['2,00', '11.566'], '11,026')
('SU002538шт', ['9,00', '20.232'], '54,000')
('SU002602шт', ['17,00', '38.012'], '102,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['34,00', '48.960'], '204,000')
('SU002011кг', ['12,00', '67.454'], '63,134')
('SU002634кг', ['20,00', '109.335'], '102,135')
('SU002010кг', ['23,00', '129.976'], '121,696')
('SU002632шт', ['31,00', '155.310'], '248,000')
('SU002631шт', ['50,00', '190.500'], '300,000')
('SU002035кг', ['24,00', '134.765'], '126,125')
('SU002150кг', ['10,00', '56.285'], '52,685')
('SU002158кг', ['8,00', '45.302'], '42,422')
('SU002151кг', ['19,00', '106.590'], '99,750')
('SU002916шт', ['10,00', '50.100'], '80,000')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['13,00', '65.130'], '104,000')
('SU002655кг', ['57,00', '526.993'], '498,094')
('SU002970кг', ['2,00', '17.899'], '16,885')

