ООО НВ Тс118381-25 09.06.2025 Галямов 3678кг.pdf
('SU003598шт', ['98,00', '164.640'], '588,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['24,00', '125.112'], '120,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU002426шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003578шт', ['18,00', '57.960'], '216,000')
('SU003578шт', ['10,00', '32.200'], '120,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['12,00', '62.760'], '60,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['36,00', '188.280'], '180,000')

ООО НВ Тс118367-25 09.06.2025 Галямов 1077кг.pdf
('SU003598шт', ['112,00', '188.160'], '672,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['12,00', '62.760'], '60,000')
('SU003024кг', ['18,00', '34.200'], '32,400')

