ООО КСК ТРЕЙД Тс118162-25 10.06.2025 Исаков 17721кг.pdf
('SU000722кг', ['10,00', '112.060'], '107,710')
('SU001485шт', ['55,00', '231.550'], '550,000')
('SU002829кг', ['19,00', '212.067'], '203,802')
('SU002815шт', ['120,00', '565.200'], '1_200,000')
('SU002828кг', ['8,00', '89.717'], '86,237')
('SU002814шт', ['67,00', '192.960'], '402,000')
('SU002835кг', ['2,00', '16.979'], '15,773')
('SU002830кг', ['19,00', '213.793'], '205,528')
('SU002816шт', ['90,00', '423.900'], '900,000')
('SU001523кг', ['50,00', '433.170'], '407,820')
('SU001718шт', ['150,00', '441.000'], '900,000')
('SU002928кг', ['9,00', '101.954'], '98,039')
('SU002734шт', ['150,00', '706.500'], '1_500,000')
('SU001721кг', ['67,00', '584.173'], '550,204')
('SU001720шт', ['167,00', '490.980'], '1_002,000')
('SU002367шт', ['15,00', '33.840'], '90,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['19,00', '58.064'], '152,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['17,00', '76.986'], '72,702')
('SU002876кг', ['8,00', '36.351'], '34,335')
('SU002847кг', ['35,00', '160.789'], '151,969')
('SU002660шт', ['55,00', '122.980'], '330,000')
('SU002877шт', ['59,00', '131.924'], '354,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003895шт', ['2,00', '2.880'], '36,000')
('SU003893шт', ['2,00', '2.880'], '36,000')
('SU003896шт', ['2,00', '2.880'], '36,000')
('SU002941кг', ['26,00', '151.152'], '144,132')
('SU002943кг', ['12,00', '69.597'], '66,357')
('SU002945кг', ['74,00', '425.294'], '406,646')
('SU002947кг', ['17,00', '98.798'], '94,208')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['20,00', '38.720'], '120,000')
('SU002946шт', ['34,00', '65.824'], '204,000')
('SU002948шт', ['20,00', '38.840'], '120,000')
('SU002725кг', ['16,00', '144.028'], '135,916')
('SU002842шт', ['117,00', '303.516'], '702,000')
('SU002618шт', ['117,00', '308.880'], '702,000')
('SU002686шт', ['42,00', '110.880'], '252,000')
('SU002844шт', ['100,00', '264.000'], '600,000')
('SU002759шт', ['19,00', '50.160'], '114,000')
('SU002758шт', ['20,00', '52.800'], '120,000')
('SU003273кг', ['3,00', '35.850'], '34,545')
('SU003271кг', ['13,00', '155.322'], '149,667')
('SU003274шт', ['8,00', '33.680'], '80,000')
('SU003272шт', ['16,00', '67.360'], '160,000')
('SU003921шт', ['3,00', '7.128'], '54,000')
('SU003925шт', ['2,00', '2.232'], '36,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU002801шт', ['42,00', '110.880'], '252,000')
('SU002799шт', ['100,00', '263.400'], '600,000')
('SU002617шт', ['34,00', '76.024'], '204,000')
('SU002252шт', ['17,00', '34.476'], '102,000')
('SU001051кг', ['3,00', '27.546'], '26,025')
('SU000227кг', ['43,00', '373.577'], '351,776')
('SU001430кг', ['4,00', '37.032'], '35,004')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU001869шт', ['80,00', '224.800'], '1_200,000')
('SU002841шт', ['15,00', '33.000'], '300,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU003167шт', ['250,00', '583.500'], '1_500,000')
('SU003168шт', ['167,00', '388.776'], '1_002,000')
('SU003422кг', ['120,00', '1.862.034'], '1_804,434')
('SU003423кг', ['75,00', '1.156.072'], '1_120,072')
('SU000251кг', ['20,00', '310.365'], '300,765')
('SU003420кг', ['74,00', '1.147.382'], '1_111,862')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['67,00', '1.040.440'], '1_008,280')
('SU002027шт', ['1,00', '4.210'], '10,000')
('SU000246кг', ['4,00', '39.562'], '37,150')
('SU002287кг', ['4,00', '38.407'], '36,379')
('SU003425кг', ['5,00', '62.940'], '60,765')
('SU002538шт', ['7,00', '15.736'], '42,000')
('SU002602шт', ['25,00', '55.900'], '150,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['50,00', '72.000'], '300,000')
('SU002011кг', ['19,00', '108.220'], '101,380')
('SU002634кг', ['20,00', '109.051'], '101,851')
('SU002010кг', ['21,00', '118.515'], '110,955')
('SU002632шт', ['25,00', '125.250'], '200,000')
('SU002631шт', ['25,00', '126.000'], '200,000')
('SU002035кг', ['19,00', '107.545'], '100,705')
('SU002150кг', ['10,00', '55.843'], '52,243')
('SU002158кг', ['6,00', '33.805'], '31,645')
('SU002151кг', ['34,00', '191.627'], '179,387')
('SU002916шт', ['3,00', '11.430'], '18,000')
('SU002916шт', ['12,00', '60.120'], '96,000')
('SU002919шт', ['4,00', '20.040'], '32,000')
('SU002918шт', ['23,00', '115.230'], '184,000')
('SU002808кг', ['1,00', '12.457'], '12,022')
('SU002655кг', ['114,00', '1.073.397'], '1_015,599')

