ООО НВ ЮТс-02305-25 10.06.2025 Ерохову 6266кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['132,00', '688.116'], '660,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003609шт', ['56,00', '213.920'], '672,000')
('SU003604шт', ['84,00', '320.880'], '1_008,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003613шт', ['56,00', '213.920'], '560,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['28,00', '90.160'], '336,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002177шт', ['12,00', '25.440'], '96,000')
('SU003601шт', ['70,00', '130.200'], '420,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003722шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['48,00', '279.840'], '384,000')
('SU003067шт', ['48,00', '279.840'], '384,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003448кг', ['126,00', '400.680'], '378,000')

ООО НВ ЮТс-02304-25 10.06.2025 Ерохову 4765кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['72,00', '520.560'], '720,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003609шт', ['168,00', '641.760'], '2_016,000')
('SU002426шт', ['70,00', '267.400'], '840,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['126,00', '405.720'], '1_512,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003777шт', ['28,00', '73.360'], '336,000')
('SU002920шт', ['48,00', '279.840'], '384,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003434кг', ['12,00', '68.760'], '66,000')

