ООО КСК ТРЕЙД Тс127839-25 21.06.2025 Чиндин 12501кг.pdf
('SU003598шт', ['182,00', '305.760'], '1_092,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003386шт', ['12,00', '79.560'], '192,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003530шт', ['12,00', '79.560'], '192,000')
('SU003677шт', ['28,00', '38.640'], '168,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['204,00', '1.063.452'], '1_020,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['84,00', '260.400'], '1_008,000')
('SU003884шт', ['84,00', '260.400'], '1_008,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['120,00', '867.600'], '1_200,000')
('SU003528шт', ['60,00', '397.800'], '960,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU002731шт', ['24,00', '159.120'], '192,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['98,00', '315.560'], '1_176,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002396кг', ['12,00', '62.400'], '60,000')
('SU002314кг', ['12,00', '62.400'], '60,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU003797шт', ['126,00', '405.720'], '1_512,000')
('SU003800шт', ['112,00', '360.640'], '1_344,000')
('SU003795шт', ['112,00', '360.640'], '1_344,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003721шт', ['28,00', '73.360'], '336,000')
('SU002920шт', ['96,00', '559.680'], '768,000')
('SU003077шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['204,00', '1.066.920'], '1_020,000')
('SU003025кг', ['42,00', '101.640'], '94,080')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

