ООО НВ Тс128988-25 23.06.2025 Головин 8114кг.pdf
('SU003598шт', ['280,00', '470.400'], '1_680,000')
('SU003600шт', ['280,00', '470.400'], '1_680,000')
('SU002708шт', ['84,00', '624.120'], '672,000')
('SU003385шт', ['84,00', '607.320'], '840,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU003529шт', ['84,00', '607.320'], '840,000')
('SU003680шт', ['140,00', '193.200'], '840,000')
('SU003677шт', ['280,00', '386.400'], '1_680,000')
('SU003676шт', ['280,00', '386.400'], '1_680,000')
('SU003591шт', ['210,00', '802.200'], '2_520,000')
('SU003607шт', ['210,00', '802.200'], '2_520,000')
('SU003887шт', ['140,00', '434.000'], '1_680,000')
('SU003889шт', ['140,00', '434.000'], '1_680,000')
('SU003884шт', ['140,00', '434.000'], '1_680,000')
('SU002293шт', ['140,00', '618.800'], '1_960,000')
('SU003872шт', ['140,00', '366.800'], '1_680,000')
('SU003870шт', ['70,00', '183.400'], '840,000')
('SU003601шт', ['140,00', '260.400'], '840,000')

