ООО НВ ЮТс-02819-25 30.06.2025 Исаков 6542кг.pdf
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['36,00', '209.880'], '288,000')
('SU003386шт', ['12,00', '79.560'], '192,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003593шт', ['42,00', '160.440'], '504,000')
('SU003591шт', ['98,00', '374.360'], '1_176,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['112,00', '360.640'], '1_344,000')
('SU003601шт', ['70,00', '130.200'], '420,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['126,00', '405.720'], '1_512,000')
('SU003795шт', ['112,00', '360.640'], '1_344,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['120,00', '627.600'], '600,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ ЮТс-02817-25 30.06.2025 Исаков 3244кг.pdf
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU003679шт', ['56,00', '70.560'], '336,000')
('SU003678шт', ['42,00', '57.960'], '252,000')
('SU003677шт', ['70,00', '96.600'], '420,000')
('SU003676шт', ['70,00', '96.600'], '420,000')
('SU002798кг', ['54,00', '156.600'], '145,800')
('SU003593шт', ['7,00', '26.740'], '84,000')
('SU003591шт', ['98,00', '374.360'], '1_176,000')
('SU003607шт', ['98,00', '374.360'], '1_176,000')
('SU002627шт', ['60,00', '445.800'], '480,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU003601шт', ['70,00', '130.200'], '420,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003721шт', ['28,00', '73.360'], '336,000')
('SU003712шт', ['28,00', '80.080'], '336,000')
('SU003708шт', ['28,00', '73.360'], '336,000')
('SU003706шт', ['28,00', '73.360'], '336,000')
('SU003707шт', ['28,00', '73.360'], '336,000')
('SU002268шт', ['96,00', '502.080'], '480,000')
('SU003381шт', ['36,00', '100.800'], '324,000')

