ООО ЛП Тс140870-25 11.07.2025 Нартов 4742кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003527шт', ['60,00', '397.800'], '960,000')
('SU003460шт', ['96,00', '694.080'], '960,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['60,00', '433.800'], '600,000')
('SU003727шт', ['42,00', '120.120'], '504,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['42,00', '135.240'], '504,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003721шт', ['42,00', '110.040'], '504,000')
('SU002920шт', ['60,00', '349.800'], '480,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002067шт', ['12,00', '85.320'], '192,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['14,00', '40.320'], '37,800')

ООО ЛП Тс140876-25 11.07.2025 Нартов 6122кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003530шт', ['12,00', '79.560'], '192,000')
('SU002798кг', ['54,00', '156.600'], '145,800')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU002314кг', ['48,00', '249.600'], '240,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002532кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003145шт', ['12,00', '69.960'], '96,000')
('SU003077шт', ['12,00', '69.960'], '96,000')
('SU002069шт', ['24,00', '170.640'], '384,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU002268шт', ['60,00', '313.800'], '300,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['56,00', '161.280'], '151,200')
('SU003025кг', ['70,00', '169.400'], '156,800')
('SU003454кг', ['56,00', '217.280'], '207,200')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003439кг', ['70,00', '271.600'], '259,000')
('SU003442кг', ['28,00', '108.640'], '103,600')

