ООО КСК ТРЕЙД Тс143715-25 15.07.2025 Бех 17674кг.pdf
('SU000722кг', ['10,00', '111.813'], '107,463')
('SU001485шт', ['60,00', '252.600'], '600,000')
('SU002829кг', ['19,00', '214.019'], '205,754')
('SU002815шт', ['140,00', '659.400'], '1_400,000')
('SU002828кг', ['4,00', '44.864'], '43,124')
('SU002814шт', ['100,00', '288.000'], '600,000')
('SU002835кг', ['4,00', '34.332'], '31,920')
('SU002830кг', ['14,00', '155.949'], '149,859')
('SU002816шт', ['110,00', '518.100'], '1_100,000')
('SU001523кг', ['23,00', '201.296'], '189,635')
('SU001718шт', ['56,00', '164.640'], '336,000')
('SU001718шт', ['111,00', '326.340'], '666,000')
('SU002928кг', ['19,00', '212.469'], '204,204')
('SU002734шт', ['90,00', '423.900'], '900,000')
('SU001721кг', ['74,00', '644.024'], '606,506')
('SU001720шт', ['2,00', '5.880'], '12,000')
('SU001720шт', ['182,00', '537.264'], '1_092,000')
('SU003336шт', ['10,00', '20.520'], '60,000')
('SU002367шт', ['9,00', '20.304'], '54,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU002756кг', ['12,00', '54.930'], '51,978')
('SU002876кг', ['8,00', '36.277'], '34,261')
('SU002847кг', ['29,00', '132.571'], '125,263')
('SU002660шт', ['42,00', '93.912'], '252,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['3,00', '4.320'], '54,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['46,00', '267.674'], '255,254')
('SU002943кг', ['10,00', '57.879'], '55,179')
('SU002945кг', ['10,00', '57.669'], '55,149')
('SU002947кг', ['10,00', '58.050'], '55,350')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['30,00', '58.080'], '180,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002725кг', ['28,00', '267.664'], '253,468')
('SU002842шт', ['134,00', '347.160'], '804,000')
('SU002618шт', ['150,00', '387.240'], '900,000')
('SU002686шт', ['50,00', '132.000'], '300,000')
('SU002844шт', ['117,00', '308.880'], '702,000')
('SU002759шт', ['12,00', '31.680'], '72,000')
('SU002758шт', ['15,00', '39.060'], '90,000')
('SU003273кг', ['2,00', '24.131'], '23,261')
('SU003271кг', ['9,00', '107.008'], '103,093')
('SU003274шт', ['8,00', '33.680'], '80,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002799шт', ['100,00', '263.400'], '600,000')
('SU002617шт', ['84,00', '187.824'], '504,000')
('SU002252шт', ['12,00', '24.336'], '72,000')
('SU001051кг', ['3,00', '25.731'], '24,210')
('SU000227кг', ['76,00', '637.785'], '599,253')
('SU001430кг', ['4,00', '37.574'], '35,546')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU001869шт', ['67,00', '188.270'], '1_005,000')
('SU002841шт', ['15,00', '33.000'], '300,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU003167шт', ['334,00', '779.556'], '2_004,000')
('SU003168шт', ['134,00', '311.952'], '804,000')
('SU003422кг', ['94,00', '1.461.096'], '1_415,976')
('SU003423кг', ['67,00', '1.034.456'], '1_002,296')
('SU000251кг', ['20,00', '310.987'], '301,387')
('SU003420кг', ['4,00', '59.906'], '57,986')
('SU003420кг', ['96,00', '1.491.067'], '1_444,987')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['67,00', '1.033.715'], '1_001,555')
('SU000246кг', ['8,00', '73.158'], '69,102')
('SU002287кг', ['5,00', '46.207'], '43,672')
('SU003425кг', ['1,00', '12.412'], '11,977')
('SU003425кг', ['4,00', '49.800'], '48,060')
('SU002074кг', ['4,00', '38.890'], '36,478')
('SU002614кг', ['2,00', '11.708'], '11,168')
('SU002613кг', ['2,00', '11.681'], '11,141')
('SU002538шт', ['25,00', '56.200'], '150,000')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003342шт', ['50,00', '72.000'], '300,000')
('SU002011кг', ['19,00', '107.208'], '100,368')
('SU002634кг', ['11,00', '60.048'], '56,088')
('SU002010кг', ['29,00', '163.362'], '152,922')
('SU002632шт', ['18,00', '90.180'], '144,000')
('SU002631шт', ['27,00', '136.080'], '216,000')
('SU002035кг', ['29,00', '164.043'], '153,603')
('SU002150кг', ['10,00', '57.000'], '53,400')
('SU002158кг', ['6,00', '33.943'], '31,783')
('SU002151кг', ['29,00', '161.363'], '150,923')
('SU002916шт', ['4,00', '20.040'], '32,000')
('SU002919шт', ['7,00', '35.070'], '56,000')
('SU002918шт', ['12,00', '60.120'], '96,000')
('SU002808кг', ['1,00', '12.393'], '11,958')
('SU002655кг', ['100,00', '955.255'], '904,555')

