ООО НВ ЮТс-03319-25 15.07.2025 Смагин 6006кг.pdf
('SU003598шт', ['84,00', '141.120'], '504,000')
('SU003600шт', ['70,00', '117.600'], '420,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003727шт', ['42,00', '120.120'], '504,000')
('SU003578шт', ['126,00', '405.720'], '1_512,000')
('SU003580шт', ['168,00', '540.960'], '2_016,000')
('SU003576шт', ['84,00', '270.480'], '1_008,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU003797шт', ['98,00', '315.560'], '1_176,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU003722шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003012кг', ['70,00', '201.600'], '189,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['42,00', '133.560'], '126,000')
('SU003439кг', ['182,00', '706.160'], '673,400')

ООО НВ ЮТс-03317-25 15.07.2025 Смагин 2440кг.pdf
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['48,00', '318.240'], '768,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

