ООО НВ Тс143314-25 16.07.2025 Пеньков 2367кг.pdf Мелитополь +
('SU000722кг', ['4,00', '44.361'], '42,621')
('SU003029шт', ['14,00', '27.104'], '84,000')
('SU002830кг', ['2,00', '22.336'], '21,466')
('SU002816шт', ['15,00', '70.650'], '150,000')
('SU001718шт', ['14,00', '41.160'], '84,000')
('SU002928кг', ['4,00', '45.033'], '43,293')
('SU002734шт', ['18,00', '84.780'], '180,000')
('SU002735шт', ['24,00', '61.920'], '144,000')
('SU001721кг', ['2,00', '17.854'], '16,840')
('SU001720шт', ['27,00', '77.760'], '162,000')
('SU003512шт', ['4,00', '8.512'], '24,000')
('SU002756кг', ['11,00', '50.148'], '47,376')
('SU002847кг', ['11,00', '50.150'], '47,378')
('SU002848шт', ['17,00', '38.012'], '102,000')
('SU002941кг', ['7,00', '40.335'], '38,445')
('SU002943кг', ['8,00', '46.259'], '44,099')
('SU002944шт', ['10,00', '19.360'], '60,000')
('SU002948шт', ['3,00', '5.826'], '18,000')
('SU002842шт', ['35,00', '92.820'], '210,000')
('SU002618шт', ['27,00', '71.280'], '162,000')
('SU002621шт', ['28,00', '72.240'], '168,000')
('SU002844шт', ['44,00', '116.160'], '264,000')
('SU003274шт', ['3,00', '12.630'], '30,000')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU001051кг', ['6,00', '52.115'], '49,073')
('SU000227кг', ['5,00', '43.211'], '40,676')
('SU003422кг', ['21,00', '326.404'], '316,324')
('SU000251кг', ['18,00', '279.519'], '270,879')
('SU003420кг', ['13,00', '201.932'], '195,692')
('SU000246кг', ['8,00', '74.771'], '70,715')
('SU002074кг', ['1,00', '9.358'], '8,851')
('SU002612кг', ['2,00', '11.228'], '10,688')
('SU002011кг', ['4,00', '22.396'], '21,032')
('SU002010кг', ['32,00', '180.690'], '169,170')
('SU002150кг', ['9,00', '50.830'], '47,590')
('SU002158кг', ['2,00', '11.267'], '10,547')
('SU002151кг', ['21,00', '118.213'], '110,653')

ООО НВ Тс143295-25 16.07.2025 Пеньков 12621кг.pdf Донецк +
('SU000722кг', ['43,00', '492.271'], '473,566')
('SU002829кг', ['9,00', '101.210'], '97,250')
('SU002831шт', ['8,00', '33.680'], '80,000')
('SU002828кг', ['3,00', '34.040'], '32,810')
('SU003029шт', ['2,00', '3.872'], '12,000')
('SU003616кг', ['4,00', '33.690'], '31,662')
('SU002835кг', ['4,00', '31.596'], '29,184')
('SU002830кг', ['42,00', '468.826'], '450,556')
('SU002816шт', ['9,00', '42.390'], '90,000')
('SU001718шт', ['23,00', '67.620'], '138,000')
('SU002928кг', ['42,00', '473.397'], '455,127')
('SU002833кг', ['3,00', '34.202'], '32,897')
('SU002735шт', ['2,00', '5.160'], '12,000')
('SU001720шт', ['100,00', '288.000'], '600,000')
('SU002756кг', ['1,00', '4.545'], '4,293')
('SU002847кг', ['31,00', '141.522'], '133,710')
('SU002660шт', ['12,00', '26.832'], '72,000')
('SU002848шт', ['33,00', '73.788'], '198,000')
('SU002941кг', ['17,00', '98.371'], '93,781')
('SU002943кг', ['11,00', '63.682'], '60,712')
('SU002947кг', ['25,00', '145.265'], '138,515')
('SU002944шт', ['9,00', '17.424'], '54,000')
('SU002942шт', ['6,00', '11.616'], '36,000')
('SU002948шт', ['8,00', '15.536'], '48,000')
('SU002725кг', ['4,00', '37.035'], '35,007')
('SU002842шт', ['58,00', '153.816'], '348,000')
('SU002618шт', ['12,00', '31.680'], '72,000')
('SU002621шт', ['41,00', '105.840'], '246,000')
('SU002686шт', ['19,00', '50.160'], '114,000')
('SU002844шт', ['26,00', '68.640'], '156,000')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU002801шт', ['1,00', '2.640'], '6,000')
('SU002799шт', ['9,00', '23.706'], '54,000')
('SU000227кг', ['22,00', '188.890'], '177,736')
('SU001869шт', ['9,00', '25.290'], '135,000')
('SU003422кг', ['88,00', '1.362.630'], '1_320,390')
('SU000251кг', ['30,00', '464.754'], '450,354')
('SU003420кг', ['54,00', '837.522'], '811,602')
('SU000126кг', ['56,00', '866.181'], '839,781')
('SU002074кг', ['161,00', '1.481.440'], '1_399,813')
('SU002011кг', ['27,00', '151.968'], '142,761')
('SU002634кг', ['276,00', '1.509.920'], '1_410,560')
('SU002010кг', ['203,00', '1.141.360'], '1_068,280')
('SU002035кг', ['238,00', '1.343.587'], '1_262,429')
('SU002150кг', ['21,00', '118.480'], '110,920')
('SU002158кг', ['32,00', '180.611'], '169,091')
('SU002151кг', ['79,00', '445.310'], '416,870')

ООО ЛП Тс143687-25 16.07.2025 Пеньков 2752кг.pdf ПРС +
('SU003665шт', ['34,00', '69.360'], '204,000')
('SU001485шт', ['30,00', '126.300'], '300,000')
('SU003313шт', ['50,00', '102.600'], '300,000')
('SU002814шт', ['40,00', '115.200'], '240,000')
('SU002825шт', ['42,00', '85.932'], '252,000')
('SU003288шт', ['42,00', '85.680'], '252,000')
('SU002834шт', ['42,00', '113.652'], '252,000')
('SU003336шт', ['42,00', '86.184'], '252,000')
('SU002367шт', ['42,00', '94.752'], '252,000')
('SU002618шт', ['42,00', '110.880'], '252,000')
('SU002621шт', ['42,00', '108.360'], '252,000')
('SU003274шт', ['23,00', '96.830'], '230,000')
('SU003272шт', ['25,00', '105.250'], '250,000')
('SU003388шт', ['20,00', '84.200'], '200,000')
('SU002801шт', ['45,00', '118.800'], '270,000')
('SU002799шт', ['44,00', '115.896'], '264,000')
('SU003340шт', ['33,00', '128.898'], '198,000')
('SU003393шт', ['15,00', '63.150'], '150,000')
('SU002617шт', ['25,00', '55.900'], '150,000')
('SU002252шт', ['34,00', '68.952'], '204,000')
('SU002368шт', ['18,00', '39.600'], '360,000')
('SU003167шт', ['30,00', '70.020'], '180,000')
('SU003168шт', ['42,00', '95.760'], '252,000')
('SU003421шт', ['20,00', '104.200'], '200,000')
('SU002027шт', ['26,00', '109.460'], '260,000')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['34,00', '76.024'], '204,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002603шт', ['34,00', '76.024'], '204,000')
('SU002285шт', ['45,00', '119.070'], '180,000')
('SU002557шт', ['25,00', '55.650'], '150,000')
('SU002631шт', ['31,00', '156.240'], '248,000')

