ООО ЛП Тс145417-25 18.07.2025 Нажмудинов 10079кг.pdf +
('SU000722кг', ['19,00', '214.500'], '206,235')
('SU001485шт', ['16,00', '67.360'], '160,000')
('SU002829кг', ['9,00', '100.730'], '96,950')
('SU002815шт', ['86,00', '405.060'], '860,000')
('SU002828кг', ['37,00', '418.295'], '402,200')
('SU002814шт', ['16,00', '46.080'], '96,000')
('SU002830кг', ['5,00', '55.070'], '52,970')
('SU002816шт', ['41,00', '193.110'], '410,000')
('SU002769шт', ['61,00', '135.420'], '366,000')
('SU002733шт', ['38,00', '150.480'], '380,000')
('SU001721кг', ['5,00', '43.245'], '40,710')
('SU002139шт', ['71,00', '157.620'], '426,000')
('SU002984шт', ['10,00', '28.960'], '80,000')
('SU002312шт', ['10,00', '42.100'], '100,000')
('SU002660шт', ['36,00', '80.496'], '216,000')
('SU002877шт', ['15,00', '33.540'], '90,000')
('SU002848шт', ['22,00', '49.192'], '132,000')
('SU003893шт', ['4,00', '5.760'], '72,000')
('SU003894шт', ['4,00', '5.760'], '72,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002944шт', ['14,00', '27.104'], '84,000')
('SU002942шт', ['13,00', '25.168'], '78,000')
('SU002948шт', ['10,00', '19.420'], '60,000')
('SU002842шт', ['38,00', '100.776'], '228,000')
('SU002618шт', ['62,00', '164.052'], '372,000')
('SU002621шт', ['63,00', '166.698'], '378,000')
('SU002844шт', ['35,00', '92.400'], '210,000')
('SU003387кг', ['52,00', '584.710'], '562,840')
('SU003392кг', ['43,00', '482.403'], '463,698')
('SU003396кг', ['6,00', '67.385'], '64,775')
('SU003395шт', ['5,00', '21.050'], '50,000')
('SU003393шт', ['7,00', '29.470'], '70,000')
('SU001820кг', ['23,00', '102.442'], '96,784')
('SU001822кг', ['15,00', '68.410'], '64,630')
('SU002617шт', ['10,00', '22.360'], '60,000')
('SU002252шт', ['14,00', '28.392'], '84,000')
('SU001340кг', ['43,00', '371.470'], '349,411')
('SU001340кг', ['256,00', '2.121.324'], '1_991,532')
('SU003333шт', ['36,00', '117.072'], '216,000')
('SU001051кг', ['11,00', '92.216'], '86,639')
('SU000227кг', ['42,00', '352.569'], '331,275')
('SU001430кг', ['7,00', '64.651'], '61,102')
('SU001869шт', ['4,00', '11.240'], '60,000')
('SU002841шт', ['3,00', '6.600'], '60,000')
('SU002840шт', ['3,00', '6.600'], '60,000')
('SU002368шт', ['4,00', '8.800'], '80,000')
('SU003167шт', ['124,00', '289.416'], '744,000')
('SU003168шт', ['40,00', '93.120'], '240,000')
('SU003422кг', ['5,00', '76.113'], '73,713')
('SU003423кг', ['16,00', '246.090'], '239,050')
('SU000251кг', ['79,00', '1.209.649'], '1_171,729')
('SU003421шт', ['6,00', '31.260'], '60,000')
('SU000126кг', ['68,00', '1.060.710'], '1_028,070')
('SU002205шт', ['15,00', '39.600'], '90,000')
('SU002808кг', ['8,00', '99.325'], '95,845')
('SU002805кг', ['23,00', '104.289'], '98,631')

ООО ЛП Тс145594-25 18.07.2025 Нажмудинов 3176кг.pdf +
('SU000722кг', ['5,00', '55.761'], '53,586')
('SU001485шт', ['8,00', '33.680'], '80,000')
('SU002829кг', ['5,00', '55.948'], '53,773')
('SU002815шт', ['16,00', '75.360'], '160,000')
('SU002828кг', ['10,00', '113.293'], '108,943')
('SU002814шт', ['8,00', '23.040'], '48,000')
('SU002830кг', ['3,00', '32.990'], '31,730')
('SU002816шт', ['11,00', '51.810'], '110,000')
('SU002769шт', ['14,00', '31.080'], '84,000')
('SU002733шт', ['9,00', '35.640'], '90,000')
('SU001721кг', ['3,00', '25.837'], '24,316')
('SU002139шт', ['19,00', '42.180'], '114,000')
('SU002984шт', ['5,00', '14.480'], '40,000')
('SU002312шт', ['5,00', '21.050'], '50,000')
('SU002660шт', ['10,00', '22.360'], '60,000')
('SU002877шт', ['8,00', '17.888'], '48,000')
('SU002848шт', ['11,00', '24.596'], '66,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
