ООО НВ ЮТс-03382-25 22.07.2025 Пеньков 3769кг.pdf
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU002177шт', ['18,00', '38.160'], '144,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003439кг', ['84,00', '325.920'], '310,800')

ООО НВ Тс147942-25 22.07.2025 Пеньков 2691кг.pdf
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['72,00', '520.560'], '720,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003722шт', ['14,00', '36.680'], '168,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003454кг', ['14,00', '54.320'], '51,800')

