ООО КСК ТРЕЙД Тс152400-25 29.07.2025 Крамаренко 17834кг.pdf
('SU000722кг', ['19,00', '211.167'], '202,902')
('SU001485шт', ['90,00', '378.900'], '900,000')
('SU002829кг', ['28,00', '313.104'], '300,924')
('SU002815шт', ['180,00', '847.800'], '1_800,000')
('SU002828кг', ['10,00', '112.426'], '108,076')
('SU002814шт', ['47,00', '135.360'], '282,000')
('SU002814шт', ['37,00', '106.560'], '222,000')
('SU002835кг', ['4,00', '34.539'], '32,127')
('SU002830кг', ['38,00', '424.371'], '407,841')
('SU002816шт', ['50,00', '235.500'], '500,000')
('SU001523кг', ['50,00', '437.678'], '412,328')
('SU001718шт', ['167,00', '490.980'], '1_002,000')
('SU002928кг', ['19,00', '212.286'], '204,021')
('SU002734шт', ['120,00', '565.200'], '1_200,000')
('SU001721кг', ['67,00', '586.653'], '552,684')
('SU001720шт', ['217,00', '637.980'], '1_302,000')
('SU003336шт', ['25,00', '51.300'], '150,000')
('SU002367шт', ['17,00', '38.352'], '102,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['34,00', '98.464'], '272,000')
('SU002756кг', ['35,00', '160.650'], '151,830')
('SU002876кг', ['12,00', '54.824'], '51,800')
('SU002847кг', ['28,00', '128.886'], '121,830')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003895шт', ['3,00', '4.320'], '54,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['7,00', '10.080'], '126,000')
('SU003896шт', ['5,00', '7.200'], '90,000')
('SU002941кг', ['47,00', '271.213'], '258,523')
('SU002943кг', ['8,00', '46.635'], '44,475')
('SU002945кг', ['8,00', '46.588'], '44,572')
('SU002947кг', ['10,00', '58.376'], '55,676')
('SU002944шт', ['42,00', '81.312'], '252,000')
('SU002942шт', ['20,00', '38.720'], '120,000')
('SU002946шт', ['40,00', '77.440'], '240,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002725кг', ['23,00', '214.934'], '203,273')
('SU002842шт', ['117,00', '301.860'], '702,000')
('SU002618шт', ['150,00', '396.000'], '900,000')
('SU002686шт', ['34,00', '89.760'], '204,000')
('SU002844шт', ['134,00', '353.760'], '804,000')
('SU002759шт', ['14,00', '36.960'], '84,000')
('SU002758шт', ['15,00', '38.700'], '90,000')
('SU003273кг', ['1,00', '11.948'], '11,513')
('SU003271кг', ['13,00', '155.612'], '149,957')
('SU003274шт', ['7,00', '29.470'], '70,000')
('SU003272шт', ['9,00', '37.890'], '90,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU002801шт', ['34,00', '89.760'], '204,000')
('SU002799шт', ['109,00', '287.106'], '654,000')
('SU002617шт', ['75,00', '167.700'], '450,000')
('SU002252шт', ['12,00', '24.336'], '72,000')
('SU000227кг', ['58,00', '479.443'], '450,037')
('SU001430кг', ['4,00', '33.806'], '31,778')
('SU002092шт', ['20,00', '56.200'], '300,000')
('SU001869шт', ['67,00', '188.270'], '1_005,000')
('SU003167шт', ['217,00', '506.478'], '1_302,000')
('SU003168шт', ['200,00', '465.600'], '1_200,000')
('SU003422кг', ['100,00', '1.552.184'], '1_504,184')
('SU003423кг', ['68,00', '1.046.422'], '1_013,782')
('SU000251кг', ['25,00', '375.543'], '363,543')
('SU003420кг', ['89,00', '1.358.055'], '1_315,335')
('SU003421шт', ['4,00', '20.840'], '40,000')
('SU000126кг', ['67,00', '1.039.549'], '1_007,389')
('SU000246кг', ['18,00', '168.492'], '157,638')
('SU002287кг', ['5,00', '46.651'], '44,116')
('SU003425кг', ['3,00', '37.855'], '36,550')
('SU002074кг', ['4,00', '39.229'], '36,817')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['42,00', '93.912'], '252,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['50,00', '72.000'], '300,000')
('SU002011кг', ['19,00', '106.882'], '100,042')
('SU002634кг', ['20,00', '110.924'], '103,724')
('SU002010кг', ['19,00', '107.109'], '100,269')
('SU002632шт', ['12,00', '60.120'], '96,000')
('SU002631шт', ['25,00', '126.000'], '200,000')
('SU002035кг', ['19,00', '107.241'], '100,401')
('SU002150кг', ['8,00', '45.143'], '42,263')
('SU002158кг', ['8,00', '45.162'], '42,282')
('SU002151кг', ['10,00', '56.461'], '52,861')
('SU002916шт', ['13,00', '65.130'], '104,000')
('SU002919шт', ['4,00', '20.040'], '32,000')
('SU002918шт', ['13,00', '65.130'], '104,000')
('SU002655кг', ['58,00', '540.004'], '510,598')

