ООО ЛП Тс157107-25 03.08.2025 Муждабаев 1481кг.pdf
('SU002830кг', ['6,00', '66.896'], '64,286')
('SU001721кг', ['10,00', '87.372'], '82,302')
('SU003387кг', ['12,00', '134.250'], '129,210')
('SU001820кг', ['5,00', '22.223'], '20,963')
('SU000227кг', ['8,00', '67.396'], '63,340')
('SU003423кг', ['17,00', '262.420'], '254,940')
('SU003420кг', ['17,00', '261.871'], '253,711')
('SU000126кг', ['17,00', '261.623'], '253,463')
('SU002074кг', ['4,00', '36.946'], '34,918')
('SU002074кг', ['1,00', '9.131'], '8,528')
('SU002614кг', ['4,00', '23.351'], '22,271')
('SU002010кг', ['12,00', '67.480'], '63,160')
('SU002035кг', ['16,00', '90.149'], '84,805')
('SU002150кг', ['6,00', '33.750'], '31,590')
('SU002655кг', ['13,00', '121.102'], '114,511')

ООО КСК ТРЕЙД Тс156309-25 03.08.2025 Муждабаев 16053кг.pdf
('SU000722кг', ['10,00', '112.365'], '108,015')
('SU001485шт', ['80,00', '336.800'], '800,000')
('SU002829кг', ['10,00', '112.104'], '107,754')
('SU002815шт', ['110,00', '518.100'], '1_100,000')
('SU002828кг', ['5,00', '56.471'], '54,296')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU003287кг', ['1,00', '9.347'], '8,744')
('SU002835кг', ['7,00', '61.554'], '57,333')
('SU002830кг', ['10,00', '111.449'], '107,099')
('SU002816шт', ['28,00', '131.880'], '280,000')
('SU002816шт', ['132,00', '621.720'], '1_320,000')
('SU001523кг', ['31,00', '268.247'], '252,530')
('SU001718шт', ['167,00', '490.980'], '1_002,000')
('SU002928кг', ['17,00', '187.493'], '180,098')
('SU002734шт', ['100,00', '471.000'], '1_000,000')
('SU001721кг', ['98,00', '856.640'], '806,954')
('SU001720шт', ['217,00', '637.980'], '1_302,000')
('SU003336шт', ['12,00', '24.624'], '72,000')
('SU002367шт', ['10,00', '22.560'], '60,000')
('SU002985шт', ['10,00', '30.560'], '80,000')
('SU002876кг', ['12,00', '55.317'], '52,293')
('SU002660шт', ['25,00', '55.900'], '150,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU003829шт', ['2,00', '3.872'], '12,000')
('SU002848шт', ['92,00', '205.712'], '552,000')
('SU003895шт', ['3,00', '4.320'], '54,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['3,00', '4.320'], '54,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['25,00', '145.239'], '138,489')
('SU002943кг', ['12,00', '69.597'], '66,357')
('SU002945кг', ['40,00', '231.927'], '221,847')
('SU002947кг', ['10,00', '58.001'], '55,301')
('SU002944шт', ['34,00', '65.824'], '204,000')
('SU002942шт', ['30,00', '58.080'], '180,000')
('SU002946шт', ['55,00', '106.480'], '330,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['36,00', '326.218'], '307,966')
('SU002842шт', ['117,00', '310.284'], '702,000')
('SU002618шт', ['134,00', '354.564'], '804,000')
('SU002686шт', ['100,00', '264.000'], '600,000')
('SU002844шт', ['117,00', '308.880'], '702,000')
('SU002759шт', ['17,00', '44.880'], '102,000')
('SU002758шт', ['14,00', '36.960'], '84,000')
('SU003273кг', ['2,00', '23.798'], '22,928')
('SU003272шт', ['13,00', '54.730'], '130,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU002799шт', ['67,00', '176.478'], '402,000')
('SU002617шт', ['34,00', '76.024'], '204,000')
('SU002252шт', ['17,00', '34.476'], '102,000')
('SU001051кг', ['8,00', '74.611'], '70,555')
('SU000227кг', ['51,00', '433.874'], '408,017')
('SU001430кг', ['4,00', '36.408'], '34,380')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU002841шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['334,00', '779.556'], '2_004,000')
('SU003168шт', ['167,00', '390.780'], '1_002,000')
('SU003422кг', ['80,00', '1.237.330'], '1_198,930')
('SU003423кг', ['47,00', '728.088'], '705,528')
('SU000251кг', ['25,00', '376.612'], '364,612')
('SU003420кг', ['77,00', '1.191.491'], '1_154,531')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['81,00', '1.250.179'], '1_211,299')
('SU002027шт', ['5,00', '21.050'], '50,000')
('SU000246кг', ['11,00', '100.247'], '94,670')
('SU002287кг', ['12,00', '114.176'], '108,092')
('SU003425кг', ['3,00', '37.695'], '36,390')
('SU002074кг', ['3,00', '28.141'], '26,620')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['34,00', '48.960'], '204,000')
('SU002634кг', ['20,00', '109.834'], '102,634')
('SU002010кг', ['29,00', '164.414'], '153,974')
('SU002632шт', ['13,00', '65.130'], '104,000')
('SU002631шт', ['21,00', '105.840'], '168,000')
('SU002035кг', ['23,00', '129.580'], '121,300')
('SU002916шт', ['7,00', '35.070'], '56,000')
('SU002919шт', ['4,00', '20.040'], '32,000')
('SU002918шт', ['4,00', '20.040'], '32,000')
('SU002655кг', ['91,00', '852.248'], '806,111')

