ООО НВ Тс163099-25 11.08.2025 Брыжахин 3594кг.pdf Донецк +
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['96,00', '694.080'], '960,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003591шт', ['84,00', '320.880'], '1_008,000')
('SU003607шт', ['84,00', '320.880'], '1_008,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['84,00', '270.480'], '1_008,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['70,00', '271.600'], '259,000')

ООО НВ Тс163110-25 11.08.2025 Брыжахин 2892кг.pdf Луганск +
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['24,00', '125.112'], '120,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['42,00', '135.240'], '504,000')
('SU002177шт', ['12,00', '25.440'], '96,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003065шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['28,00', '108.640'], '103,600')

ООО НВ Тс163087-25 11.08.2025 Брыжахин 4908кг.pdf Горняк +
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU003797шт', ['154,00', '495.880'], '1_848,000')
('SU003800шт', ['26,00', '83.720'], '312,000')
('SU003020кг', ['204,00', '1.270.920'], '1_224,000')
('SU003454кг', ['378,00', '1.466.640'], '1_398,600')
('SU003434кг', ['84,00', '481.320'], '462,000')
('SU003448кг', ['70,00', '222.600'], '210,000')
('SU003439кг', ['252,00', '977.760'], '932,400')

