ООО НВ Тс163127-25 11.08.2025 Сарва 957кг.pdf Мелитополь +
('SU003532шт', ['84,00', '607.320'], '840,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003384шт', ['56,00', '180.320'], '672,000')

ООО НВ Тс163033-25 11.08.2025 Сарва 3986кг.pdf Луганск +
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003884шт', ['56,00', '173.600'], '672,000')
('SU002573шт', ['70,00', '163.800'], '1_680,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003454кг', ['98,00', '380.240'], '362,600')
('SU003448кг', ['126,00', '400.680'], '378,000')
('SU003439кг', ['126,00', '488.880'], '466,200')

ООО НВ Тс163131-25 11.08.2025 Сарва 6754кг.pdf Бердянск +
('SU003598шт', ['154,00', '258.720'], '924,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['132,00', '954.360'], '1_320,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['84,00', '270.480'], '1_008,000')
('SU000197кг', ['192,00', '998.400'], '960,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['72,00', '376.560'], '360,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['60,00', '433.800'], '600,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')

