ООО НВ Тс168042-25 19.08.2025 Пахомову 1625кг.pdf
('SU003600шт', ['84,00', '141.120'], '504,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003887шт', ['56,00', '173.600'], '672,000')
('SU003889шт', ['84,00', '260.400'], '1_008,000')
('SU003892шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU003800шт', ['140,00', '450.800'], '1_680,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['14,00', '40.320'], '37,800')

ООО НВ Тс168051-25 19.08.2025 Пахомову 8203кг.pdf
('SU003598шт', ['70,00', '117.600'], '420,000')
('SU003600шт', ['42,00', '70.560'], '252,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['36,00', '260.280'], '360,000')
('SU002595кг', ['204,00', '1.063.452'], '1_020,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['56,00', '173.600'], '672,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['84,00', '260.400'], '1_008,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['56,00', '104.160'], '336,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU002268шт', ['36,00', '188.280'], '180,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003012кг', ['98,00', '282.240'], '264,600')
('SU003010кг', ['144,00', '753.120'], '720,000')
('SU003454кг', ['42,00', '162.960'], '155,400')

