ООО НВ Тс177619-25 01.09.2025 Ожех 5202кг.pdf Мелитополь +
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003593шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU003892шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003605шт', ['42,00', '170.520'], '336,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['28,00', '90.160'], '336,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['112,00', '208.320'], '672,000')
('SU000197кг', ['132,00', '686.400'], '660,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003777шт', ['28,00', '73.360'], '336,000')
('SU002066шт', ['48,00', '356.640'], '384,000')
('SU002068шт', ['36,00', '267.480'], '288,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ Тс177607-25 01.09.2025 Ожех 2808кг.pdf Луганск +
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003578шт', ['151,00', '486.220'], '1_812,000')
('SU003578шт', ['31,00', '99.820'], '372,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['98,00', '315.560'], '1_176,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003012кг', ['140,00', '403.200'], '378,000')
('SU003010кг', ['96,00', '502.080'], '480,000')

ООО НВ Тс177613-25 01.09.2025 Ожех 4014кг.pdf Бердянск +
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['204,00', '1.060.800'], '1_020,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003320шт', ['60,00', '433.800'], '600,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')

