ООО КСК ТРЕЙД Тс180852-25 07.09.2025 Кива 3007кг.pdf
('SU003422кг', ['67,00', '1.035.595'], '1_003,435')
('SU003420кг', ['69,00', '1.034.814'], '1_001,694')
('SU000126кг', ['66,00', '1.033.901'], '1_002,221')

ООО КСК ТРЕЙД Тс181038-25 07.09.2025 Кива 10239кг.pdf
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['36,00', '260.280'], '360,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU003677шт', ['28,00', '38.640'], '168,000')
('SU003676шт', ['28,00', '38.640'], '168,000')
('SU002595кг', ['276,00', '1.438.788'], '1_380,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003884шт', ['56,00', '173.600'], '672,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003717шт', ['60,00', '433.800'], '600,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['96,00', '694.080'], '960,000')
('SU003528шт', ['48,00', '318.240'], '768,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003698шт', ['24,00', '173.520'], '240,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['1,00', '3.220'], '12,000')
('SU003580шт', ['125,00', '402.500'], '1_500,000')
('SU003576шт', ['84,00', '270.480'], '1_008,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['28,00', '90.160'], '336,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['84,00', '270.480'], '1_008,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['70,00', '225.400'], '840,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003721шт', ['28,00', '73.360'], '336,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['120,00', '747.600'], '720,000')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003025кг', ['28,00', '67.760'], '62,720')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

