ООО НВ Тс189629-25 20.09.2025 Панчишин 9916кг.pdf
('SU003598шт', ['280,00', '470.400'], '1_680,000')
('SU003600шт', ['280,00', '470.400'], '1_680,000')
('SU003532шт', ['168,00', '1.214.640'], '1_680,000')
('SU003385шт', ['168,00', '1.214.640'], '1_680,000')
('SU003529шт', ['168,00', '1.214.640'], '1_680,000')
('SU003677шт', ['420,00', '579.600'], '2_520,000')
('SU003676шт', ['280,00', '386.400'], '1_680,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003593шт', ['70,00', '267.400'], '840,000')
('SU003591шт', ['140,00', '534.800'], '1_680,000')
('SU003607шт', ['140,00', '534.800'], '1_680,000')
('SU003887шт', ['70,00', '217.000'], '840,000')
('SU003889шт', ['175,00', '542.500'], '2_100,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['280,00', '868.000'], '3_360,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003601шт', ['140,00', '260.400'], '840,000')
('SU002396кг', ['72,00', '374.400'], '360,000')

