ООО НВ Тс191044-25 23.09.2025 Хайбулаев 6729кг.pdf Бердянск +
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['42,00', '170.520'], '336,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['132,00', '954.360'], '1_320,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['28,00', '90.160'], '336,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['168,00', '873.600'], '840,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003973шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003010кг', ['120,00', '627.600'], '600,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

ООО НВ Тс191052-25 23.09.2025 Хайбулаев 67кг.pdf Мелитополь +
('SU003259шт', ['12,00', '69.960'], '96,000')

ООО НВ Тс191061-25 23.09.2025 Хайбулаев 4309кг.pdf Мелитополь +
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['126,00', '481.320'], '1_512,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003605шт', ['42,00', '170.520'], '336,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003601шт', ['98,00', '182.280'], '588,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003010кг', ['156,00', '815.880'], '780,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['14,00', '44.520'], '42,000')

