ООО ЛП Тс198905-25 03.10.2025 Добрилко 6008кг.pdf
('SU003422кг', ['100,00', '1.551.115'], '1_503,115')
('SU003423кг', ['100,00', '1.548.560'], '1_501,910')
('SU000251кг', ['100,00', '1.547.527'], '1_499,527')
('SU000126кг', ['100,00', '1.549.287'], '1_503,987')

ООО ЛП Тс198595-25 03.10.2025 Добрилко 6081кг.pdf
('SU003188шт', ['2,00', '4.120'], '20,000')
('SU004016шт', ['1,00', '2.040'], '6,000')
('SU003664шт', ['1,00', '2.046'], '6,000')
('SU003665шт', ['1,00', '2.040'], '6,000')
('SU000722кг', ['15,00', '167.553'], '161,028')
('SU001485шт', ['5,00', '21.050'], '50,000')
('SU003642кг', ['4,00', '45.015'], '43,275')
('SU002829кг', ['15,00', '166.665'], '160,575')
('SU002674шт', ['3,00', '15.030'], '24,000')
('SU002831шт', ['5,00', '21.050'], '50,000')
('SU002815шт', ['5,00', '23.550'], '50,000')
('SU002828кг', ['15,00', '168.629'], '162,104')
('SU002814шт', ['10,00', '28.800'], '60,000')
('SU003027шт', ['3,00', '5.808'], '18,000')
('SU003029шт', ['3,00', '5.808'], '18,000')
('SU003031шт', ['3,00', '5.826'], '18,000')
('SU002887кг', ['2,00', '17.950'], '17,080')
('SU003616кг', ['2,00', '17.136'], '16,122')
('SU002835кг', ['2,00', '16.608'], '15,402')
('SU002830кг', ['10,00', '111.083'], '106,733')
('SU002816шт', ['7,00', '32.970'], '70,000')
('SU001523кг', ['8,00', '46.134'], '42,870')
('SU001718шт', ['1,00', '2.940'], '6,000')
('SU002833кг', ['3,00', '33.698'], '32,393')
('SU002735шт', ['2,00', '5.160'], '12,000')
('SU001721кг', ['6,00', '51.374'], '48,332')
('SU001720шт', ['1,00', '2.940'], '6,000')
('SU002983шт', ['3,00', '10.200'], '24,000')
('SU002985шт', ['3,00', '9.168'], '24,000')
('SU000064кг', ['4,00', '37.900'], '35,560')
('SU000664кг', ['3,00', '9.279'], '8,679')
('SU000097кг', ['1,00', '9.178'], '8,623')
('SU003512шт', ['3,00', '6.384'], '18,000')
('SU002756кг', ['5,00', '22.601'], '21,341')
('SU002876кг', ['5,00', '22.981'], '21,931')
('SU002847кг', ['5,00', '22.854'], '21,594')
('SU002660шт', ['5,00', '11.180'], '30,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU002659шт', ['5,00', '13.080'], '30,000')
('SU003046шт', ['5,00', '9.200'], '30,000')
('SU003895шт', ['1,00', '1.440'], '18,000')
('SU003894шт', ['1,00', '1.440'], '18,000')
('SU002941кг', ['5,00', '28.228'], '26,878')
('SU002943кг', ['5,00', '28.539'], '27,189')
('SU002945кг', ['5,00', '28.200'], '26,940')
('SU002947кг', ['5,00', '28.338'], '26,988')
('SU002944шт', ['4,00', '7.744'], '24,000')
('SU002942шт', ['4,00', '7.744'], '24,000')
('SU002946шт', ['4,00', '7.744'], '24,000')
('SU002948шт', ['4,00', '7.768'], '24,000')
('SU002725кг', ['1,00', '9.028'], '8,521')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU003923шт', ['1,00', '1.206'], '18,000')
('SU003389кг', ['10,00', '111.645'], '107,395')
('SU003387кг', ['15,00', '168.779'], '162,254')
('SU003388шт', ['5,00', '21.050'], '50,000')
('SU002201кг', ['1,00', '11.104'], '10,573')
('SU002801шт', ['5,00', '13.200'], '30,000')
('SU002799шт', ['5,00', '13.170'], '30,000')
('SU002698шт', ['5,00', '9.080'], '30,000')
('SU001777кг', ['31,00', '345.940'], '332,340')
('SU003394кг', ['12,00', '133.671'], '128,451')
('SU003396кг', ['4,00', '44.825'], '43,085')
('SU003395шт', ['4,00', '16.840'], '40,000')
('SU001820кг', ['20,00', '88.392'], '83,352')
('SU001822кг', ['20,00', '91.341'], '86,307')
('SU001801кг', ['5,00', '22.719'], '21,633')
('SU002579шт', ['5,00', '11.180'], '30,000')
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['181,00', '1.593.466'], '1_500,613')
('SU001727кг', ['3,00', '26.134'], '24,325')
('SU001728кг', ['2,00', '17.065'], '16,051')
('SU003333шт', ['5,00', '16.260'], '30,000')
('SU001762шт', ['1,00', '2.946'], '6,000')
('SU001051кг', ['4,00', '37.426'], '35,398')
('SU000227кг', ['5,00', '42.538'], '40,003')
('SU001430кг', ['5,00', '45.469'], '42,934')
('SU001921кг', ['1,00', '3.045'], '2,813')
('SU001920кг', ['1,00', '3.177'], '2,929')
('SU002092шт', ['1,00', '2.810'], '15,000')
('SU001869шт', ['1,00', '2.810'], '15,000')
('SU002841шт', ['2,00', '4.400'], '40,000')
('SU002840шт', ['2,00', '4.400'], '40,000')
('SU002368шт', ['2,00', '4.400'], '40,000')
('SU001835кг', ['5,00', '42.713'], '40,118')
('SU003167шт', ['5,00', '11.670'], '30,000')
('SU003168шт', ['5,00', '11.640'], '30,000')
('SU003422кг', ['48,00', '744.800'], '721,760')
('SU000251кг', ['48,00', '744.914'], '721,874')
('SU003161кг', ['4,00', '39.198'], '37,170')
('SU000246кг', ['1,00', '9.359'], '8,756')
('SU003425кг', ['1,00', '12.464'], '12,029')
('SU002074кг', ['1,00', '9.745'], '9,142')
('SU002614кг', ['3,00', '17.005'], '16,195')
('SU002613кг', ['3,00', '16.881'], '16,071')
('SU003083шт', ['10,00', '18.160'], '60,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['5,00', '11.180'], '30,000')
('SU002603шт', ['5,00', '11.180'], '30,000')
('SU002285шт', ['3,00', '7.938'], '12,000')
('SU002612кг', ['3,00', '17.158'], '16,348')
('SU002545шт', ['5,00', '11.240'], '30,000')
('SU002604шт', ['6,00', '13.452'], '36,000')
('SU002011кг', ['3,00', '16.857'], '15,777')
('SU002634кг', ['3,00', '16.440'], '15,390')
('SU002010кг', ['3,00', '16.870'], '15,820')
('SU002632шт', ['1,00', '5.010'], '8,000')
('SU002635шт', ['1,00', '5.040'], '8,000')
('SU002631шт', ['1,00', '5.040'], '8,000')
('SU002035кг', ['3,00', '16.837'], '15,874')
('SU002643шт', ['1,00', '5.010'], '8,000')
('SU002150кг', ['3,00', '16.820'], '15,770')
('SU002158кг', ['3,00', '16.835'], '15,845')
('SU002151кг', ['3,00', '16.846'], '15,766')
('SU002916шт', ['1,00', '5.010'], '8,000')
('SU002919шт', ['1,00', '5.010'], '8,000')
('SU002918шт', ['1,00', '5.010'], '8,000')
('SU002218кг', ['1,00', '8.752'], '8,245')
('SU002219кг', ['2,00', '12.465'], '11,649')
('SU002805кг', ['5,00', '22.746'], '21,486')
('SU002809кг', ['5,00', '22.844'], '21,584')
('SU002655кг', ['5,00', '48.725'], '46,190')
('SU002970кг', ['2,00', '18.434'], '17,420')
('SU002971кг', ['2,00', '18.529'], '17,515')

