ООО НВ Тс199540-25 04.10.2025 Дьяченков 11772кг.pdf Донецк +
('SU000722кг', ['24,00', '271.677'], '261,237')
('SU003422кг', ['80,00', '1.239.224'], '1_200,824')
('SU003423кг', ['37,00', '578.122'], '560,362')
('SU003420кг', ['121,00', '1.869.277'], '1_811,197')
('SU000126кг', ['48,00', '758.215'], '735,655')
('SU000126кг', ['105,00', '1.638.526'], '1_588,126')
('SU002074кг', ['152,00', '1.445.466'], '1_353,810')
('SU002634кг', ['491,00', '2.671.620'], '2_499,770')
('SU002010кг', ['152,00', '856.400'], '803,200')
('SU002035кг', ['114,00', '642.961'], '605,911')
('SU002151кг', ['67,00', '376.540'], '352,420')

ООО НВ Тс199546-25 04.10.2025 Дьяченков 3098кг.pdf Бердянск +
('SU000722кг', ['3,00', '33.821'], '32,516')
('SU002986шт', ['14,00', '54.740'], '140,000')
('SU003642кг', ['1,00', '11.210'], '10,775')
('SU002831шт', ['5,00', '21.050'], '50,000')
('SU002828кг', ['4,00', '44.996'], '43,256')
('SU002830кг', ['2,00', '22.421'], '21,551')
('SU002816шт', ['3,00', '14.130'], '30,000')
('SU001523кг', ['7,00', '60.977'], '57,428')
('SU001718шт', ['48,00', '141.120'], '288,000')
('SU002928кг', ['7,00', '78.029'], '74,984')
('SU002734шт', ['11,00', '51.810'], '110,000')
('SU002833кг', ['5,00', '56.167'], '53,992')
('SU002735шт', ['2,00', '5.160'], '12,000')
('SU001720шт', ['47,00', '138.180'], '282,000')
('SU002756кг', ['10,00', '45.580'], '43,060')
('SU002847кг', ['36,00', '164.542'], '155,530')
('SU002660шт', ['14,00', '31.304'], '84,000')
('SU003829шт', ['15,00', '29.040'], '90,000')
('SU002848шт', ['20,00', '44.720'], '120,000')
('SU003893шт', ['5,00', '7.200'], '90,000')
('SU003894шт', ['5,00', '7.200'], '90,000')
('SU003896шт', ['1,00', '1.440'], '18,000')
('SU002947кг', ['43,00', '246.431'], '234,821')
('SU002944шт', ['11,00', '21.296'], '66,000')
('SU002942шт', ['6,00', '11.616'], '36,000')
('SU002948шт', ['18,00', '34.956'], '108,000')
('SU002725кг', ['1,00', '9.074'], '8,567')
('SU002842шт', ['25,00', '65.724'], '150,000')
('SU002621шт', ['66,00', '174.240'], '396,000')
('SU002844шт', ['39,00', '103.428'], '234,000')
('SU002759шт', ['10,00', '25.800'], '60,000')
('SU002758шт', ['4,00', '10.560'], '24,000')
('SU003921шт', ['2,00', '3.960'], '30,000')
('SU003923шт', ['5,00', '6.030'], '90,000')
('SU002801шт', ['6,00', '15.480'], '36,000')
('SU002799шт', ['59,00', '155.406'], '354,000')
('SU001869шт', ['3,00', '8.430'], '45,000')
('SU002841шт', ['1,00', '2.200'], '20,000')
('SU002840шт', ['1,00', '2.200'], '20,000')
('SU002368шт', ['1,00', '2.200'], '20,000')
('SU003422кг', ['27,00', '417.314'], '404,354')
('SU003423кг', ['1,00', '15.397'], '14,917')
('SU000126кг', ['27,00', '419.467'], '406,507')
('SU000246кг', ['1,00', '9.278'], '8,771')
('SU002287кг', ['1,00', '8.991'], '8,484')
('SU002074кг', ['8,00', '73.689'], '69,633')
('SU002011кг', ['2,00', '11.426'], '10,706')
('SU002182кг', ['2,00', '11.073'], '10,353')
('SU002010кг', ['34,00', '192.515'], '180,275')
('SU002150кг', ['8,00', '45.019'], '42,139')
('SU002158кг', ['6,00', '33.612'], '31,452')
('SU002151кг', ['15,00', '84.387'], '78,987')

ООО НВ Тс199544-25 04.10.2025 NO NAME 2644кг.pdf Мелитополь +
('SU000722кг', ['1,00', '11.420'], '10,985')
('SU002986шт', ['39,00', '152.490'], '390,000')
('SU002831шт', ['6,00', '25.260'], '60,000')
('SU002828кг', ['1,00', '11.170'], '10,790')
