ООО ЛП Тс212892-25 22.10.2025 Добрилко 7045кг.pdf
('SU000341шт', ['1,00', '2.766'], '6,000')
('SU000152шт', ['2,00', '5.520'], '12,000')
('SU000722кг', ['17,00', '168.924'], '161,829')
('SU001485шт', ['12,00', '50.520'], '120,000')
('SU003642кг', ['6,00', '66.520'], '63,910')
('SU002829кг', ['15,00', '168.100'], '161,575')
('SU002674шт', ['2,00', '10.020'], '16,000')
('SU003033шт', ['3,00', '6.840'], '18,000')
('SU002815шт', ['5,00', '23.550'], '50,000')
('SU002828кг', ['15,00', '167.747'], '161,222')
('SU002814шт', ['15,00', '43.200'], '90,000')
('SU003027шт', ['3,00', '5.808'], '18,000')
('SU003029шт', ['3,00', '5.808'], '18,000')
('SU003031шт', ['3,00', '5.826'], '18,000')
('SU002887кг', ['2,00', '17.160'], '16,290')
('SU003616кг', ['2,00', '17.919'], '16,905')
('SU003617шт', ['1,00', '2.766'], '6,000')
('SU003288шт', ['3,00', '6.120'], '18,000')
('SU002830кг', ['10,00', '112.615'], '108,265')
('SU002816шт', ['5,00', '23.550'], '50,000')
('SU001523кг', ['12,00', '70.340'], '65,444')
('SU001718шт', ['1,00', '2.940'], '6,000')
('SU002928кг', ['8,00', '89.693'], '86,213')
('SU002734шт', ['5,00', '23.550'], '50,000')
('SU002827шт', ['2,00', '9.420'], '12,000')
('SU001721кг', ['8,00', '68.774'], '64,718')
('SU001720шт', ['2,00', '5.880'], '12,000')
('SU002983шт', ['3,00', '10.200'], '24,000')
('SU002985шт', ['3,00', '9.168'], '24,000')
('SU002312шт', ['5,00', '21.050'], '50,000')
('SU000064кг', ['12,00', '51.502'], '47,947')
('SU002756кг', ['6,00', '27.555'], '26,079')
('SU002847кг', ['5,00', '22.850'], '21,620')
('SU002660шт', ['5,00', '11.180'], '30,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU002941кг', ['5,00', '28.488'], '27,138')
('SU002943кг', ['3,00', '16.893'], '16,083')
('SU002947кг', ['5,00', '28.206'], '26,856')
('SU002944шт', ['5,00', '9.680'], '30,000')
('SU002942шт', ['5,00', '9.680'], '30,000')
('SU002946шт', ['5,00', '9.680'], '30,000')
('SU002948шт', ['5,00', '9.710'], '30,000')
('SU002843кг', ['1,00', '8.649'], '8,142')
('SU002845кг', ['1,00', '8.698'], '8,191')
('SU003925шт', ['1,00', '1.116'], '18,000')
('SU003924шт', ['1,00', '1.206'], '18,000')
('SU003923шт', ['1,00', '1.206'], '18,000')
('SU003389кг', ['10,00', '113.364'], '109,234')
('SU003391кг', ['5,00', '56.774'], '54,599')
('SU003387кг', ['15,00', '169.085'], '162,560')
('SU003388шт', ['5,00', '21.050'], '50,000')
('SU002801шт', ['5,00', '13.200'], '30,000')
('SU002799шт', ['5,00', '13.170'], '30,000')
('SU001777кг', ['30,00', '334.930'], '323,230')
('SU003394кг', ['15,00', '168.908'], '162,383')
('SU003396кг', ['10,00', '111.760'], '107,410')
('SU003395шт', ['5,00', '21.050'], '50,000')
('SU003393шт', ['5,00', '21.050'], '50,000')
('SU001820кг', ['30,00', '133.304'], '125,924')
('SU001822кг', ['20,00', '91.180'], '86,260')
('SU001801кг', ['5,00', '22.587'], '21,357')
('SU002579шт', ['7,00', '15.652'], '42,000')
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['182,00', '1.592.201'], '1_498,835')
('SU001727кг', ['2,00', '17.706'], '16,500')
('SU001728кг', ['2,00', '17.616'], '16,602')
('SU003333шт', ['5,00', '16.260'], '30,000')
('SU001762шт', ['1,00', '2.946'], '6,000')
('SU001051кг', ['9,00', '75.475'], '70,912')
('SU000227кг', ['8,00', '67.951'], '63,895')
('SU001430кг', ['8,00', '72.824'], '68,768')
('SU001921кг', ['2,00', '6.224'], '5,760')
('SU001920кг', ['2,00', '6.699'], '6,203')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU001835кг', ['10,00', '86.671'], '81,481')
('SU003167шт', ['5,00', '11.670'], '30,000')
('SU003168шт', ['5,00', '11.700'], '30,000')
('SU003423кг', ['49,00', '752.510'], '732,420')
('SU000251кг', ['49,00', '755.214'], '731,694')
('SU002787шт', ['3,00', '12.630'], '30,000')
('SU003432шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['49,00', '757.189'], '733,865')
('SU002027шт', ['3,00', '12.630'], '30,000')
('SU003161кг', ['9,00', '80.016'], '75,453')
('SU002074кг', ['1,00', '8.967'], '8,364')
('SU002285шт', ['3,00', '7.938'], '12,000')
('SU002612кг', ['5,00', '28.441'], '27,091')
('SU002011кг', ['2,00', '11.249'], '10,529')
('SU002182кг', ['2,00', '11.356'], '10,636')
('SU002634кг', ['2,00', '11.080'], '10,380')
('SU002010кг', ['2,00', '11.260'], '10,560')
('SU002035кг', ['3,00', '17.007'], '15,927')
('SU002150кг', ['2,00', '11.210'], '10,510')
('SU002158кг', ['2,00', '11.255'], '10,535')
('SU002151кг', ['2,00', '11.160'], '10,520')
('SU002970кг', ['3,00', '28.464'], '26,943')
('SU002971кг', ['3,00', '28.217'], '26,696')

