ООО НВ Тс220887-25 02.11.2025 Гулаков 7488кг.pdf
('SU000722кг', ['6,00', '67.096'], '64,486')
('SU002986шт', ['10,00', '39.100'], '100,000')
('SU002829кг', ['4,00', '44.935'], '43,195')
('SU002828кг', ['6,00', '67.196'], '64,658')
('SU003616кг', ['10,00', '87.515'], '82,445')
('SU002835кг', ['11,00', '93.721'], '87,376')
('SU002830кг', ['21,00', '237.238'], '228,628')
('SU002816шт', ['7,00', '32.970'], '70,000')
('SU001718шт', ['36,00', '105.840'], '216,000')
('SU002928кг', ['12,00', '134.841'], '129,837')
('SU002833кг', ['14,00', '156.536'], '150,446')
('SU002735шт', ['5,00', '12.850'], '30,000')
('SU001721кг', ['7,00', '60.821'], '57,272')
('SU001720шт', ['15,00', '43.200'], '90,000')
('SU002847кг', ['7,00', '32.478'], '30,714')
('SU002660шт', ['29,00', '64.844'], '174,000')
('SU003829шт', ['26,00', '50.336'], '156,000')
('SU002848шт', ['113,00', '252.668'], '678,000')
('SU003893шт', ['5,00', '7.200'], '90,000')
('SU003894шт', ['11,00', '15.840'], '198,000')
('SU003896шт', ['9,00', '12.960'], '162,000')
('SU002757шт', ['8,00', '18.000'], '48,000')
('SU002941кг', ['68,00', '386.149'], '367,789')
('SU002943кг', ['34,00', '191.043'], '181,863')
('SU002947кг', ['40,00', '228.246'], '217,446')
('SU002944шт', ['27,00', '52.272'], '162,000')
('SU002942шт', ['22,00', '42.592'], '132,000')
('SU002948шт', ['13,00', '25.246'], '78,000')
('SU002725кг', ['11,00', '100.585'], '95,008')
('SU002842шт', ['79,00', '206.916'], '474,000')
('SU002621шт', ['11,00', '29.040'], '66,000')
('SU002686шт', ['57,00', '150.480'], '342,000')
('SU002844шт', ['55,00', '145.860'], '330,000')
('SU003273кг', ['8,00', '95.615'], '92,135')
('SU003274шт', ['3,00', '12.630'], '30,000')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU003925шт', ['7,00', '7.812'], '126,000')
('SU003924шт', ['9,00', '10.854'], '162,000')
('SU003923шт', ['2,00', '2.412'], '36,000')
('SU002801шт', ['28,00', '72.240'], '168,000')
('SU001051кг', ['14,00', '118.220'], '111,122')
('SU000227кг', ['47,00', '399.639'], '375,810')
('SU001430кг', ['9,00', '85.735'], '81,172')
('SU001869шт', ['7,00', '19.670'], '105,000')
('SU002840шт', ['3,00', '6.600'], '60,000')
('SU002368шт', ['14,00', '30.800'], '280,000')
('SU001835кг', ['4,00', '34.691'], '32,615')
('SU003422кг', ['36,00', '555.493'], '538,213')
('SU003423кг', ['5,00', '77.300'], '75,150')
('SU000251кг', ['19,00', '293.968'], '284,848')
('SU003420кг', ['19,00', '293.522'], '284,402')
('SU000126кг', ['4,00', '62.260'], '60,540')
('SU000246кг', ['1,00', '9.435'], '8,832')
('SU002287кг', ['9,00', '84.322'], '79,759')
('SU002074кг', ['125,00', '1.218.465'], '1_143,090')
('SU002011кг', ['18,00', '100.456'], '94,606')
('SU002182кг', ['11,00', '62.116'], '58,596')
('SU002634кг', ['30,00', '163.170'], '152,970')
('SU002010кг', ['92,00', '517.310'], '486,170')
('SU002632шт', ['16,00', '80.160'], '128,000')
('SU002035кг', ['14,00', '79.432'], '74,532')
('SU002643шт', ['7,00', '35.070'], '56,000')
('SU002150кг', ['21,00', '117.570'], '110,640')
('SU002158кг', ['14,00', '79.057'], '74,017')

ООО НВ Тс220866-25 02.11.2025 Гулаков 5294кг.pdf
('SU002831шт', ['4,00', '16.840'], '40,000')
('SU002835кг', ['8,00', '67.426'], '62,818')
('SU002816шт', ['7,00', '32.970'], '70,000')
('SU001523кг', ['18,00', '105.358'], '98,014')
('SU001718шт', ['13,00', '38.220'], '78,000')
('SU002734шт', ['30,00', '141.300'], '300,000')
('SU002735шт', ['6,00', '15.420'], '36,000')
('SU001721кг', ['62,00', '538.123'], '506,689')
('SU001720шт', ['216,00', '622.080'], '1_296,000')
('SU002756кг', ['10,00', '45.585'], '43,065')
('SU002847кг', ['14,00', '64.503'], '60,975')
('SU002660шт', ['21,00', '46.956'], '126,000')
('SU003829шт', ['3,00', '5.808'], '18,000')
('SU002848шт', ['64,00', '143.104'], '384,000')
('SU002941кг', ['48,00', '273.248'], '260,288')
('SU002943кг', ['3,00', '16.862'], '16,052')
('SU002944шт', ['7,00', '13.552'], '42,000')
('SU002942шт', ['12,00', '23.232'], '72,000')
('SU002948шт', ['6,00', '11.652'], '36,000')
('SU002618шт', ['50,00', '132.000'], '300,000')
('SU002621шт', ['10,00', '26.400'], '60,000')
('SU002686шт', ['30,00', '79.200'], '180,000')
('SU002759шт', ['6,00', '15.480'], '36,000')
('SU002758шт', ['6,00', '15.480'], '36,000')
('SU002801шт', ['13,00', '33.540'], '78,000')
('SU002799шт', ['4,00', '10.536'], '24,000')
('SU002252шт', ['2,00', '4.056'], '12,000')
('SU000227кг', ['2,00', '16.876'], '15,862')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['6,00', '16.860'], '90,000')
('SU002841шт', ['3,00', '6.600'], '60,000')
('SU002840шт', ['1,00', '2.200'], '20,000')
('SU003422кг', ['57,00', '879.793'], '852,433')
('SU002074кг', ['43,00', '418.497'], '392,568')
('SU002634кг', ['43,00', '233.880'], '219,260')
('SU002010кг', ['104,00', '584.170'], '550,890')
('SU002632шт', ['4,00', '20.040'], '32,000')
('SU002035кг', ['110,00', '623.605'], '585,105')
('SU002643шт', ['2,00', '10.020'], '16,000')
('SU002150кг', ['6,00', '33.550'], '31,570')
('SU002151кг', ['40,00', '224.687'], '208,607')

