ООО НВ Тс221706-25 01.11.2025 Чиндину 3216кг.pdf
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002396кг', ['36,00', '187.200'], '180,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU002268шт', ['96,00', '502.080'], '480,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['36,00', '188.280'], '180,000')

ООО ЛП Тс220086-25 01.11.2025 Чиндину 5974кг.pdf
('SU003598шт', ['70,00', '117.600'], '420,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU002798кг', ['36,00', '104.400'], '97,200')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['210,00', '651.000'], '2_520,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['120,00', '867.600'], '1_200,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003845шт', ['12,00', '74.760'], '120,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003944шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['56,00', '146.720'], '672,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU003935шт', ['156,00', '815.880'], '780,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['28,00', '108.640'], '103,600')
('SU003442кг', ['28,00', '108.640'], '103,600')

