ООО НВ Тс221709-25 03.11.2025 Пеньков 4714кг.pdf Горняк +
('SU003454кг', ['252,00', '977.760'], '932,400')
('SU003434кг', ['144,00', '825.120'], '792,000')
('SU003448кг', ['168,00', '534.240'], '504,000')
('SU003439кг', ['630,00', '2.444.400'], '2_331,000')
('SU003442кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс221705-25 03.11.2025 Пеньков 3861кг.pdf Луганск +
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['56,00', '173.600'], '672,000')
('SU002573шт', ['42,00', '98.280'], '1_008,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU002177шт', ['30,00', '63.600'], '240,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['108,00', '564.840'], '540,000')
('SU003448кг', ['56,00', '178.080'], '168,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс221708-25 03.11.2025 Пеньков 3586кг.pdf Донецк +
('SU003598шт', ['70,00', '117.600'], '420,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['112,00', '347.200'], '1_344,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003527шт', ['60,00', '397.800'], '960,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['20,00', '64.400'], '240,000')
('SU003578шт', ['22,00', '70.840'], '264,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003975шт', ['36,00', '267.480'], '288,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['36,00', '188.280'], '180,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

