ООО ЛП Тс223937-25 08.11.2025 Бауков 6713кг.pdf
('SU000341шт', ['1,00', '2.750'], '6,000')
('SU000152шт', ['1,00', '2.760'], '6,000')
('SU000722кг', ['15,00', '169.319'], '163,169')
('SU003642кг', ['5,00', '55.650'], '53,600')
('SU002829кг', ['10,00', '111.781'], '107,556')
('SU002674шт', ['2,00', '9.980'], '16,000')
('SU002831шт', ['3,00', '12.570'], '30,000')
('SU003033шт', ['3,00', '6.810'], '18,000')
('SU002815шт', ['3,00', '14.070'], '30,000')
('SU002828кг', ['15,00', '166.971'], '161,076')
('SU002814шт', ['5,00', '14.350'], '30,000')
('SU003029шт', ['3,00', '5.808'], '18,000')
('SU003031шт', ['3,00', '5.826'], '18,000')
('SU003616кг', ['1,00', '8.791'], '8,284')
('SU003617шт', ['2,00', '5.532'], '12,000')
('SU003288шт', ['2,00', '4.060'], '12,000')
('SU002835кг', ['2,00', '17.410'], '16,254')
('SU002830кг', ['10,00', '114.374'], '110,274')
('SU001523кг', ['8,00', '68.358'], '64,502')
('SU001718шт', ['5,00', '14.650'], '30,000')
('SU002928кг', ['5,00', '55.844'], '53,794')
('SU002827шт', ['2,00', '9.380'], '12,000')
('SU002833кг', ['2,00', '22.381'], '21,561')
('SU002735шт', ['3,00', '7.710'], '18,000')
('SU001721кг', ['10,00', '87.059'], '81,989')
('SU001720шт', ['2,00', '5.860'], '12,000')
('SU002984шт', ['2,00', '5.792'], '16,000')
('SU004028кг', ['3,00', '39.490'], '38,200')
('SU002312шт', ['3,00', '12.570'], '30,000')
('SU003932шт', ['3,00', '9.540'], '30,000')
('SU000064кг', ['6,00', '22.663'], '21,163')
('SU000664кг', ['2,00', '8.992'], '8,548')
('SU000097кг', ['1,00', '9.640'], '9,110')
('SU003512шт', ['3,00', '6.384'], '18,000')
('SU002756кг', ['5,00', '22.721'], '21,561')
('SU002876кг', ['3,00', '13.751'], '13,055')
('SU002847кг', ['5,00', '22.986'], '22,036')
('SU002660шт', ['5,00', '11.180'], '30,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU003895шт', ['1,00', '1.440'], '18,000')
('SU003893шт', ['1,00', '1.440'], '18,000')
('SU003894шт', ['1,00', '1.440'], '18,000')
('SU003896шт', ['1,00', '1.440'], '18,000')
('SU002941кг', ['5,00', '28.283'], '27,033')
('SU002943кг', ['5,00', '28.217'], '26,867')
('SU002945кг', ['5,00', '28.453'], '27,293')
('SU002947кг', ['5,00', '28.180'], '26,930')
('SU002944шт', ['3,00', '5.808'], '18,000')
('SU002942шт', ['3,00', '5.808'], '18,000')
('SU002946шт', ['3,00', '5.808'], '18,000')
('SU002948шт', ['3,00', '5.826'], '18,000')
('SU002843кг', ['2,00', '17.485'], '16,521')
('SU002845кг', ['2,00', '17.437'], '16,473')
('SU002725кг', ['2,00', '18.144'], '17,130')
('SU002842шт', ['1,00', '2.630'], '6,000')
('SU002618шт', ['1,00', '2.630'], '6,000')
('SU002621шт', ['1,00', '2.630'], '6,000')
('SU002686шт', ['2,00', '5.260'], '12,000')
('SU003925шт', ['1,00', '1.116'], '18,000')
('SU003924шт', ['1,00', '1.206'], '18,000')
('SU003923шт', ['1,00', '1.206'], '18,000')
('SU003389кг', ['10,00', '112.595'], '108,395')
('SU003391кг', ['5,00', '56.460'], '54,310')
