ООО НВ ЮТс-06001-25 10.11.2025 Сулайманов 5546кг.pdf Луганск +
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['36,00', '209.880'], '288,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU002573шт', ['28,00', '65.520'], '672,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003459шт', ['60,00', '433.800'], '600,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU003601шт', ['154,00', '286.440'], '924,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003973шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU003708шт', ['28,00', '73.360'], '336,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['56,00', '161.280'], '151,200')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003448кг', ['42,00', '133.560'], '126,000')
('SU003439кг', ['112,00', '434.560'], '414,400')

ООО НВ ЮТс-06007-25 10.11.2025 Сулайманов 4230кг.pdf Мелитополь +
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['60,00', '433.800'], '600,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003975шт', ['36,00', '267.480'], '288,000')
('SU003973шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['12,00', '62.760'], '60,000')
('SU002268шт', ['108,00', '564.840'], '540,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003454кг', ['28,00', '108.640'], '103,600')

