ООО КСК ТРЕЙД Тс225525-25 11.11.2025 Хайбулаев 17745кг.pdf
('SU000722кг', ['10,00', '112.625'], '108,525')
('SU001485шт', ['50,00', '209.500'], '500,000')
('SU002829кг', ['19,00', '212.227'], '204,437')
('SU002815шт', ['60,00', '281.400'], '600,000')
('SU002828кг', ['19,00', '212.809'], '205,019')
('SU002814шт', ['10,00', '28.700'], '60,000')
('SU002814шт', ['57,00', '163.590'], '342,000')
('SU002835кг', ['3,00', '24.064'], '22,654')
('SU002830кг', ['24,00', '269.257'], '259,417')
('SU002816шт', ['5,00', '23.450'], '50,000')
('SU002816шт', ['8,00', '37.680'], '80,000')
('SU002816шт', ['87,00', '408.030'], '870,000')
('SU001523кг', ['57,00', '489.077'], '461,603')
('SU001718шт', ['134,00', '392.620'], '804,000')
('SU002928кг', ['5,00', '55.554'], '53,504')
('SU002734шт', ['140,00', '656.600'], '1_400,000')
('SU001721кг', ['50,00', '430.063'], '405,963')
('SU001720шт', ['150,00', '439.500'], '900,000')
('SU003336шт', ['10,00', '20.420'], '60,000')
('SU002367шт', ['14,00', '31.444'], '84,000')
('SU002983шт', ['20,00', '68.000'], '160,000')
('SU002985шт', ['17,00', '51.952'], '136,000')
('SU002984шт', ['22,00', '63.712'], '176,000')
('SU002756кг', ['20,00', '91.678'], '87,158')
('SU002876кг', ['7,00', '32.103'], '30,479')
('SU002847кг', ['28,00', '128.057'], '121,729')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003895шт', ['6,00', '8.640'], '108,000')
('SU003893шт', ['9,00', '12.960'], '162,000')
('SU003894шт', ['12,00', '17.280'], '216,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['23,00', '131.019'], '125,269')
('SU002943кг', ['8,00', '45.217'], '43,217')
('SU002945кг', ['71,00', '401.482'], '385,010')
('SU002947кг', ['12,00', '68.198'], '65,198')
('SU002944шт', ['67,00', '129.712'], '402,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['30,00', '58.260'], '180,000')
('SU002725кг', ['12,00', '109.172'], '103,388')
('SU002842шт', ['117,00', '309.114'], '702,000')
('SU002618шт', ['167,00', '439.210'], '1_002,000')
('SU002686шт', ['42,00', '110.460'], '252,000')
('SU002844шт', ['100,00', '264.200'], '600,000')
('SU002759шт', ['10,00', '26.300'], '60,000')
('SU002758шт', ['12,00', '31.560'], '72,000')
('SU003271кг', ['5,00', '59.686'], '57,636')
('SU003274шт', ['5,00', '20.950'], '50,000')
('SU003272шт', ['11,00', '46.090'], '110,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU002801шт', ['30,00', '77.160'], '180,000')
('SU002799шт', ['84,00', '220.416'], '504,000')
('SU003942шт', ['5,00', '13.030'], '30,000')
('SU002617шт', ['67,00', '149.812'], '402,000')
('SU002252шт', ['12,00', '24.216'], '72,000')
('SU001051кг', ['3,00', '25.722'], '24,276')
('SU000227кг', ['38,00', '324.652'], '306,336')
('SU001430кг', ['31,00', '268.806'], '253,864')
('SU002092шт', ['34,00', '95.540'], '510,000')
('SU001869шт', ['134,00', '376.540'], '2_010,000')
('SU002841шт', ['50,00', '110.000'], '1_000,000')
('SU002368шт', ['75,00', '165.000'], '1_500,000')
('SU003167шт', ['467,00', '1.085.308'], '2_802,000')
('SU003168шт', ['200,00', '463.600'], '1_200,000')
('SU003422кг', ['81,00', '1.248.609'], '1_210,539')
('SU003423кг', ['48,00', '738.742'], '718,582')
('SU003420кг', ['101,00', '1.559.488'], '1_512,018')
('SU000251кг', ['34,00', '525.589'], '509,609')
('SU003421шт', ['3,00', '15.570'], '30,000')
('SU000126кг', ['67,00', '1.037.415'], '1_005,925')
('SU002027шт', ['2,00', '8.380'], '20,000')
('SU000246кг', ['3,00', '27.301'], '25,855')
('SU002287кг', ['3,00', '28.589'], '27,143')
('SU003425кг', ['4,00', '49.742'], '48,102')
('SU002074кг', ['4,00', '36.492'], '34,564')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['17,00', '38.012'], '102,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['7,00', '15.694'], '42,000')
('SU003342шт', ['25,00', '35.750'], '150,000')
('SU002011кг', ['12,00', '67.358'], '63,158')
('SU002634кг', ['20,00', '108.883'], '102,283')
('SU002010кг', ['29,00', '163.719'], '153,569')
('SU002632шт', ['19,00', '94.810'], '152,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['29,00', '163.308'], '153,158')
('SU002150кг', ['6,00', '33.778'], '31,798')
('SU002158кг', ['19,00', '106.873'], '100,223')
('SU002151кг', ['16,00', '90.102'], '84,322')
('SU002916шт', ['13,00', '64.870'], '104,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['17,00', '84.830'], '136,000')
('SU002655кг', ['101,00', '955.905'], '907,223')

