ООО ЛП Тс233519-25 22.11.2025 Шмырев 4176кг.pdf Коныгин +
('SU002829кг', ['2,00', '22.320'], '21,440')
('SU002828кг', ['4,00', '44.429'], '42,789')
('SU002830кг', ['5,00', '56.190'], '54,140')
('SU003392кг', ['13,00', '147.706'], '142,376')
('SU001820кг', ['35,00', '152.589'], '144,679')
('SU001340кг', ['64,00', '563.661'], '532,429')
('SU001340кг', ['64,00', '510.646'], '479,798')
('SU001835кг', ['8,00', '68.994'], '65,042')
('SU003422кг', ['16,00', '247.084'], '239,564')
('SU003423кг', ['7,00', '106.975'], '104,035')
('SU000251кг', ['20,00', '309.391'], '299,991')
('SU000126кг', ['60,00', '927.171'], '898,971')
('SU002074кг', ['53,00', '481.460'], '455,914')
('SU002615кг', ['3,00', '17.121'], '16,371')
('SU002634кг', ['13,00', '70.700'], '66,540')
('SU002010кг', ['23,00', '129.220'], '121,860')
('SU002035кг', ['10,00', '56.214'], '52,714')
('SU002151кг', ['23,00', '129.215'], '121,165')
('SU002808кг', ['25,00', '310.584'], '299,824')
('SU002655кг', ['2,00', '18.308'], '17,344')

ООО ЛП Тс233521-25 22.11.2025 Шмырев 4583кг.pdf Обрыньба +
('SU000341шт', ['1,00', '2.756'], '6,000')
('SU000152шт', ['1,00', '2.750'], '6,000')
('SU000722кг', ['5,00', '55.871'], '53,821')
('SU001485шт', ['3,00', '12.570'], '30,000')
('SU002815шт', ['5,00', '23.450'], '50,000')
('SU002828кг', ['1,00', '11.175'], '10,765')
('SU002828кг', ['4,00', '44.711'], '43,071')
('SU002814шт', ['3,00', '8.610'], '18,000')
('SU002814шт', ['2,00', '5.740'], '12,000')
('SU003027шт', ['3,00', '5.808'], '18,000')
('SU003029шт', ['3,00', '5.808'], '18,000')
('SU003031шт', ['3,00', '5.826'], '18,000')
('SU003616кг', ['2,00', '18.092'], '17,128')
('SU002816шт', ['5,00', '23.450'], '50,000')
('SU001523кг', ['8,00', '46.490'], '43,306')
('SU002734шт', ['5,00', '23.450'], '50,000')
('SU002827шт', ['2,00', '9.380'], '12,000')
('SU002833кг', ['2,00', '22.411'], '21,591')
('SU002735шт', ['2,00', '5.140'], '12,000')
('SU001721кг', ['3,00', '25.593'], '24,147')
('SU002985шт', ['3,00', '9.168'], '24,000')
('SU002312шт', ['3,00', '12.570'], '30,000')
('SU000097кг', ['2,00', '19.098'], '18,038')
('SU003997шт', ['4,00', '7.744'], '24,000')
('SU002756кг', ['6,00', '27.332'], '25,940')
('SU002876кг', ['5,00', '22.753'], '21,593')
('SU002847кг', ['6,00', '27.442'], '26,050')
('SU002660шт', ['5,00', '11.180'], '30,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU003046шт', ['5,00', '9.200'], '30,000')
('SU002941кг', ['5,00', '28.270'], '27,020')
('SU002943кг', ['5,00', '28.452'], '27,202')
('SU002945кг', ['5,00', '28.035'], '26,875')
('SU002947кг', ['5,00', '28.455'], '27,205')
('SU002944шт', ['4,00', '7.744'], '24,000')
('SU002942шт', ['4,00', '7.744'], '24,000')
('SU002946шт', ['4,00', '7.744'], '24,000')
('SU002948шт', ['4,00', '7.768'], '24,000')
('SU002843кг', ['2,00', '17.282'], '16,318')
('SU002845кг', ['2,00', '16.838'], '15,874')
('SU003389кг', ['5,00', '55.300'], '53,325')
('SU003391кг', ['5,00', '56.440'], '54,240')
('SU003387кг', ['10,00', '113.165'], '109,065')
('SU003390шт', ['3,00', '12.570'], '30,000')
('SU003388шт', ['2,00', '8.380'], '20,000')
('SU002801шт', ['4,00', '10.520'], '24,000')
('SU002799шт', ['4,00', '10.496'], '24,000')
('SU002698шт', ['5,00', '9.080'], '30,000')
('SU003942шт', ['5,00', '13.030'], '30,000')
('SU001777кг', ['31,00', '346.076'], '333,366')
('SU003394кг', ['10,00', '111.271'], '107,171')
('SU003395шт', ['3,00', '12.570'], '30,000')
('SU003393шт', ['3,00', '12.570'], '30,000')
('SU001820кг', ['31,00', '136.055'], '129,049')
('SU001822кг', ['20,00', '91.342'], '86,702')
('SU001801кг', ['5,00', '22.909'], '21,749')
('SU002579шт', ['5,00', '11.180'], '30,000')
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['20,00', '173.660'], '163,900')
('SU001340кг', ['82,00', '657.666'], '618,142')
('SU001727кг', ['2,00', '17.480'], '16,324')
('SU001728кг', ['2,00', '17.448'], '16,484')
('SU001051кг', ['3,00', '26.607'], '25,161')
('SU000227кг', ['3,00', '25.186'], '23,740')
('SU001430кг', ['7,00', '63.660'], '60,286')
('SU001921кг', ['1,00', '3.032'], '2,800')
('SU002092шт', ['1,00', '2.810'], '15,000')
('SU001869шт', ['1,00', '2.810'], '15,000')
('SU001835кг', ['10,00', '86.031'], '81,091')
('SU003167шт', ['3,00', '6.972'], '18,000')
('SU003168шт', ['3,00', '6.954'], '18,000')
('SU000251кг', ['48,00', '743.639'], '721,079')
('SU000126кг', ['49,00', '756.572'], '733,542')
('SU003161кг', ['3,00', '27.629'], '26,183')
('SU002360кг', ['3,00', '13.403'], '12,833')
('SU002074кг', ['2,00', '18.384'], '17,420')
('SU002614кг', ['3,00', '16.884'], '16,134')
('SU002615кг', ['3,00', '17.016'], '16,266')
('SU002613кг', ['3,00', '16.839'], '16,089')
('SU002538шт', ['5,00', '11.240'], '30,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['5,00', '11.180'], '30,000')
('SU002603шт', ['5,00', '11.180'], '30,000')
('SU002285шт', ['2,00', '5.252'], '8,000')
('SU002612кг', ['5,00', '28.484'], '27,234')
('SU002545шт', ['3,00', '6.744'], '18,000')
('SU002604шт', ['3,00', '6.726'], '18,000')
('SU002182кг', ['2,00', '11.043'], '10,403')
('SU002634кг', ['2,00', '10.920'], '10,280')
('SU002094кг', ['2,00', '11.300'], '10,660')
('SU002010кг', ['2,00', '11.260'], '10,620')
('SU002035кг', ['2,00', '11.255'], '10,555')
('SU002150кг', ['2,00', '11.140'], '10,500')
('SU002158кг', ['2,00', '11.222'], '10,522')
('SU002151кг', ['2,00', '11.216'], '10,516')
('SU002218кг', ['1,00', '8.648'], '8,166')
('SU002219кг', ['2,00', '11.631'], '10,835')
('SU002805кг', ['10,00', '45.805'], '43,485')
('SU002809кг', ['10,00', '45.110'], '42,850')
('SU002655кг', ['3,00', '27.484'], '26,038')
('SU002970кг', ['1,00', '9.141'], '8,659')
('SU002971кг', ['1,00', '9.547'], '9,065')

