ООО КСК ТРЕЙД Тс239588-25 29.11.2025 Боков 17741кг.pdf
('SU000722кг', ['19,00', '212.322'], '204,532')
('SU001485шт', ['50,00', '209.500'], '500,000')
('SU002829кг', ['19,00', '214.630'], '206,840')
('SU002815шт', ['80,00', '375.200'], '800,000')
('SU002828кг', ['1,00', '11.259'], '10,849')
('SU002828кг', ['18,00', '201.144'], '193,764')
('SU002814шт', ['50,00', '143.500'], '300,000')
('SU002835кг', ['4,00', '33.692'], '31,380')
('SU002830кг', ['14,00', '157.029'], '151,289')
('SU002816шт', ['60,00', '281.400'], '600,000')
('SU002816шт', ['20,00', '93.800'], '200,000')
('SU001523кг', ['38,00', '327.656'], '309,340')
('SU001718шт', ['117,00', '342.810'], '702,000')
('SU002928кг', ['5,00', '55.913'], '53,863')
('SU002734шт', ['100,00', '469.000'], '1_000,000')
('SU001721кг', ['50,00', '429.317'], '405,217')
('SU001720шт', ['134,00', '393.898'], '804,000')
('SU003336шт', ['14,00', '28.588'], '84,000')
('SU002367шт', ['17,00', '38.182'], '102,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['14,00', '42.784'], '112,000')
('SU002984шт', ['15,00', '43.440'], '120,000')
('SU002756кг', ['12,00', '54.820'], '52,036')
('SU002876кг', ['8,00', '36.777'], '34,969')
('SU002847кг', ['24,00', '109.140'], '103,716')
('SU002660шт', ['37,00', '82.732'], '222,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU003895шт', ['12,00', '17.280'], '216,000')
('SU003893шт', ['9,00', '12.960'], '162,000')
('SU003894шт', ['7,00', '10.080'], '126,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['31,00', '174.417'], '166,667')
('SU002943кг', ['10,00', '57.105'], '54,605')
('SU002945кг', ['75,00', '423.704'], '406,304')
('SU002947кг', ['12,00', '68.534'], '65,534')
('SU002944шт', ['47,00', '90.992'], '282,000')
('SU002942шт', ['29,00', '56.144'], '174,000')
('SU002946шт', ['59,00', '114.224'], '354,000')
('SU002948шт', ['29,00', '56.318'], '174,000')
('SU002725кг', ['13,00', '117.574'], '111,308')
('SU002842шт', ['100,00', '263.000'], '600,000')
('SU002618шт', ['84,00', '221.424'], '504,000')
('SU002686шт', ['42,00', '110.460'], '252,000')
('SU002844шт', ['84,00', '221.928'], '504,000')
('SU002759шт', ['10,00', '26.300'], '60,000')
('SU002758шт', ['10,00', '26.300'], '60,000')
('SU003273кг', ['2,00', '23.896'], '23,076')
('SU003271кг', ['7,00', '83.463'], '80,593')
('SU003274шт', ['15,00', '62.850'], '150,000')
('SU003272шт', ['10,00', '41.900'], '100,000')
('SU003920шт', ['2,00', '3.960'], '30,000')
('SU002801шт', ['25,00', '65.750'], '150,000')
('SU002799шт', ['50,00', '131.500'], '300,000')
('SU003942шт', ['5,00', '13.030'], '30,000')
('SU002617шт', ['84,00', '187.824'], '504,000')
('SU002252шт', ['12,00', '24.216'], '72,000')
('SU001051кг', ['3,00', '25.951'], '24,505')
('SU000227кг', ['52,00', '437.890'], '412,826')
('SU001430кг', ['23,00', '216.206'], '205,120')
('SU003167шт', ['400,00', '911.092'], '2_400,000')
('SU003168шт', ['167,00', '389.110'], '1_002,000')
('SU003422кг', ['141,00', '2.175.170'], '2_108,900')
('SU003423кг', ['67,00', '1.035.835'], '1_004,345')
('SU003420кг', ['95,00', '1.466.214'], '1_421,564')
('SU000251кг', ['19,00', '292.245'], '283,315')
('SU003421шт', ['10,00', '51.900'], '100,000')
('SU000126кг', ['67,00', '1.040.004'], '1_008,514')
('SU002027шт', ['3,00', '12.570'], '30,000')
('SU000246кг', ['4,00', '36.916'], '34,988')
('SU002287кг', ['3,00', '27.723'], '26,277')
('SU003425кг', ['4,00', '50.044'], '48,404')
('SU003425кг', ['1,00', '12.494'], '12,084')
('SU002074кг', ['3,00', '29.156'], '27,422')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003342шт', ['17,00', '24.310'], '102,000')
('SU002011кг', ['16,00', '90.574'], '84,974')
('SU002634кг', ['20,00', '109.225'], '102,225')
('SU002010кг', ['29,00', '163.425'], '153,855')
('SU002632шт', ['19,00', '94.810'], '152,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['23,00', '129.483'], '121,433')
('SU002150кг', ['6,00', '33.832'], '31,732')
('SU002158кг', ['14,00', '78.668'], '73,768')
('SU002151кг', ['14,00', '78.711'], '73,811')
('SU002916шт', ['10,00', '49.900'], '80,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002808кг', ['59,00', '732.129'], '707,939')
('SU002655кг', ['126,00', '1.168.880'], '1_108,148')

