ООО НВ Тс245627-25 07.12.2025 Дьяченков 10848кг.pdf
('SU000722кг', ['28,00', '309.281'], '297,801')
('SU003642кг', ['5,00', '56.410'], '54,360')
('SU002831шт', ['3,00', '12.570'], '30,000')
('SU002828кг', ['9,00', '100.300'], '96,340')
('SU002835кг', ['8,00', '65.690'], '61,930')
('SU002816шт', ['30,00', '140.700'], '300,000')
('SU001523кг', ['28,00', '161.883'], '150,739')
('SU002928кг', ['55,00', '609.841'], '587,291')
('SU002734шт', ['6,00', '28.140'], '60,000')
('SU002833кг', ['1,00', '11.210'], '10,800')
('SU001721кг', ['13,00', '111.026'], '104,760')
('SU002756кг', ['5,00', '22.751'], '21,621')
('SU002847кг', ['33,00', '150.328'], '142,870')
('SU002660шт', ['20,00', '44.720'], '120,000')
('SU003829шт', ['8,00', '15.488'], '48,000')
('SU002848шт', ['59,00', '131.924'], '354,000')
('SU003896шт', ['2,00', '2.880'], '36,000')
('SU002941кг', ['92,00', '520.968'], '497,968')
('SU002943кг', ['32,00', '181.537'], '173,537')
('SU002947кг', ['3,00', '16.749'], '15,999')
('SU002944шт', ['10,00', '19.360'], '60,000')
('SU002942шт', ['14,00', '27.104'], '84,000')
('SU002948шт', ['18,00', '34.956'], '108,000')
('SU002843кг', ['8,00', '69.144'], '65,288')
('SU002845кг', ['8,00', '68.544'], '64,688')
('SU002842шт', ['94,00', '247.220'], '564,000')
('SU002686шт', ['85,00', '223.550'], '510,000')
('SU002844шт', ['58,00', '153.236'], '348,000')
('SU002759шт', ['11,00', '28.930'], '66,000')
('SU002758шт', ['10,00', '26.300'], '60,000')
('SU002801шт', ['46,00', '120.980'], '276,000')
('SU002252шт', ['7,00', '14.126'], '42,000')
('SU000227кг', ['99,00', '869.264'], '821,546')
('SU002092шт', ['6,00', '16.860'], '90,000')
('SU001869шт', ['4,00', '11.240'], '60,000')
('SU002841шт', ['4,00', '8.800'], '80,000')
('SU002840шт', ['2,00', '4.400'], '40,000')
('SU002368шт', ['8,00', '17.600'], '160,000')
('SU003423кг', ['5,00', '77.090'], '74,740')
('SU003420кг', ['130,00', '2.016.047'], '1_954,947')
('SU000251кг', ['12,00', '183.599'], '177,959')
('SU000126кг', ['18,00', '277.375'], '269,473')
('SU002074кг', ['255,00', '2.416.676'], '2_281,166')
('SU002205шт', ['9,00', '23.724'], '54,000')
('SU002011кг', ['8,00', '44.842'], '42,042')
('SU002632шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['108,00', '605.141'], '566,999')
('SU002643шт', ['25,00', '124.750'], '200,000')
