ООО НВ Тс245725-25 08.12.2025 Штырков 3900кг.pdf Луганск +
('SU000722кг', ['38,00', '425.295'], '409,715')
('SU002847кг', ['22,00', '100.788'], '95,816')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU002943кг', ['19,00', '107.282'], '102,532')
('SU002947кг', ['38,00', '214.704'], '205,204')
('SU002842шт', ['84,00', '220.920'], '504,000')
('SU002844шт', ['84,00', '221.928'], '504,000')
('SU000227кг', ['25,00', '212.627'], '200,577')
('SU003423кг', ['20,00', '310.000'], '301,000')
('SU003420кг', ['20,00', '306.720'], '297,320')
('SU000251кг', ['17,00', '262.572'], '254,582')
('SU000126кг', ['48,00', '735.812'], '713,252')
('SU002074кг', ['78,00', '752.134'], '707,050')

ООО ЛП Тс246008-25 08.12.2025 Штырков 5470кг.pdf НПК +
('SU002829кг', ['24,00', '267.669'], '256,929')
('SU001523кг', ['20,00', '115.624'], '107,664')
('SU001718шт', ['223,00', '653.390'], '1_338,000')
('SU002769шт', ['51,00', '112.710'], '306,000')
('SU002733шт', ['27,00', '106.380'], '270,000')
('SU002833кг', ['5,00', '57.039'], '54,989')
('SU001721кг', ['51,00', '435.608'], '411,026')
('SU001720шт', ['30,00', '87.900'], '180,000')
('SU001720шт', ['119,00', '350.098'], '714,000')
('SU002983шт', ['94,00', '319.600'], '752,000')
('SU002985шт', ['108,00', '330.048'], '864,000')
('SU002941кг', ['28,00', '157.879'], '150,879')
('SU002943кг', ['28,00', '158.220'], '151,220')
('SU002945кг', ['56,00', '316.334'], '303,342')
('SU002947кг', ['19,00', '107.727'], '102,977')
('SU002843кг', ['13,00', '110.746'], '104,480')
('SU002725кг', ['15,00', '135.352'], '128,122')
('SU002618шт', ['209,00', '549.670'], '1_254,000')
('SU002621шт', ['209,00', '549.670'], '1_254,000')
('SU002686шт', ['42,00', '110.460'], '252,000')
('SU002844шт', ['42,00', '110.964'], '252,000')
('SU000227кг', ['19,00', '161.957'], '152,799')
('SU003422кг', ['15,00', '229.026'], '221,976')
('SU002287кг', ['12,00', '113.528'], '107,744')
('SU002205шт', ['84,00', '221.424'], '504,000')

ООО ЛП Тс246009-25 08.12.2025 Штырков 4092кг.pdf ПРС +
('SU003665шт', ['50,00', '100.360'], '300,000')
('SU001485шт', ['35,00', '146.650'], '350,000')
('SU003313шт', ['59,00', '120.478'], '354,000')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002825шт', ['50,00', '101.800'], '300,000')
('SU003288шт', ['50,00', '101.500'], '300,000')
('SU002834шт', ['50,00', '134.300'], '300,000')
('SU003336шт', ['59,00', '120.478'], '354,000')
('SU002367шт', ['64,00', '143.744'], '384,000')
('SU002618шт', ['67,00', '176.210'], '402,000')
('SU002621шт', ['59,00', '155.170'], '354,000')
('SU003274шт', ['24,00', '100.560'], '240,000')
('SU003274шт', ['6,00', '25.140'], '60,000')
('SU003272шт', ['30,00', '125.700'], '300,000')
('SU003388шт', ['30,00', '125.700'], '300,000')
('SU002801шт', ['50,00', '131.500'], '300,000')
('SU002799шт', ['59,00', '154.816'], '354,000')
('SU003340шт', ['59,00', '229.274'], '354,000')
('SU003393шт', ['30,00', '125.700'], '300,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['50,00', '100.900'], '300,000')
('SU002368шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['33,00', '76.692'], '198,000')
('SU003167шт', ['17,00', '39.070'], '102,000')
('SU003168шт', ['59,00', '137.470'], '354,000')
('SU003421шт', ['35,00', '181.650'], '350,000')
('SU002027шт', ['30,00', '125.700'], '300,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['50,00', '111.800'], '300,000')
('SU002606шт', ['59,00', '131.924'], '354,000')
('SU002603шт', ['67,00', '149.812'], '402,000')
('SU002285шт', ['100,00', '262.600'], '400,000')
('SU002557шт', ['67,00', '148.472'], '402,000')
('SU002631шт', ['44,00', '219.560'], '352,000')

ООО НВ Тс245662-25 08.12.2025 Штырков 3836кг.pdf Бердянск +
('SU002986шт', ['10,00', '38.900'], '100,000')
('SU003642кг', ['2,00', '22.654'], '21,834')
('SU002831шт', ['3,00', '12.570'], '30,000')
