ООО КСК ТРЕЙД Тс252824-25 19.12.2025 Кагриев 17471кг.pdf
('SU000722кг', ['29,00', '323.191'], '311,301')
('SU001485шт', ['80,00', '335.200'], '800,000')
('SU002829кг', ['28,00', '313.948'], '302,468')
('SU002815шт', ['42,00', '196.980'], '420,000')
('SU002815шт', ['68,00', '318.920'], '680,000')
('SU002828кг', ['13,00', '145.894'], '140,564')
('SU002828кг', ['15,00', '168.231'], '162,081')
('SU002814шт', ['50,00', '143.500'], '300,000')
('SU002830кг', ['5,00', '56.020'], '53,970')
('SU002830кг', ['14,00', '157.895'], '152,155')
('SU002816шт', ['120,00', '562.800'], '1_200,000')
('SU001523кг', ['37,00', '327.804'], '309,970')
('SU001718шт', ['217,00', '635.810'], '1_302,000')
('SU002928кг', ['10,00', '112.045'], '107,945')
('SU002734шт', ['70,00', '328.300'], '700,000')
('SU001721кг', ['61,00', '530.470'], '501,068')
('SU001720шт', ['100,00', '293.000'], '600,000')
('SU003336шт', ['17,00', '34.714'], '102,000')
('SU002367шт', ['9,00', '20.214'], '54,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002756кг', ['12,00', '54.832'], '52,552')
('SU002876кг', ['12,00', '54.342'], '52,062')
('SU002847кг', ['23,00', '105.551'], '100,467')
('SU002660шт', ['34,00', '76.024'], '204,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU003895шт', ['6,00', '8.640'], '108,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['28,00', '158.444'], '151,444')
('SU002943кг', ['10,00', '56.997'], '54,497')
('SU002945кг', ['129,00', '724.586'], '694,658')
('SU002947кг', ['19,00', '106.513'], '101,763')
('SU002944шт', ['34,00', '65.824'], '204,000')
('SU002942шт', ['17,00', '32.912'], '102,000')
('SU002946шт', ['34,00', '65.824'], '204,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002725кг', ['12,00', '106.052'], '101,132')
('SU002842шт', ['109,00', '286.670'], '654,000')
('SU002618шт', ['131,00', '345.316'], '786,000')
('SU002618шт', ['3,00', '7.890'], '18,000')
('SU002686шт', ['16,00', '42.080'], '96,000')
('SU002844шт', ['92,00', '241.960'], '552,000')
('SU002759шт', ['17,00', '44.506'], '102,000')
('SU002758шт', ['19,00', '49.970'], '114,000')
('SU003273кг', ['5,00', '59.414'], '57,364')
('SU003271кг', ['19,00', '226.752'], '218,962')
('SU003274шт', ['1,00', '4.190'], '10,000')
('SU003272шт', ['15,00', '62.850'], '150,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['7,00', '13.860'], '105,000')
('SU002801шт', ['17,00', '44.740'], '102,000')
('SU002799шт', ['50,00', '131.200'], '300,000')
('SU003942шт', ['7,00', '18.242'], '42,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['24,00', '48.432'], '144,000')
('SU001051кг', ['4,00', '35.432'], '33,504')
('SU000227кг', ['13,00', '110.310'], '104,044')
('SU001430кг', ['12,00', '110.720'], '104,936')
('SU002092шт', ['34,00', '95.540'], '510,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU003167шт', ['84,00', '194.712'], '504,000')
('SU003168шт', ['350,00', '811.300'], '2_100,000')
('SU003422кг', ['74,00', '1.146.578'], '1_111,798')
('SU003423кг', ['34,00', '523.508'], '507,528')
('SU003420кг', ['23,00', '354.840'], '345,640')
('SU003420кг', ['96,00', '1.487.745'], '1_442,625')
('SU000251кг', ['27,00', '417.221'], '404,531')
('SU003421шт', ['7,00', '36.330'], '70,000')
('SU000126кг', ['67,00', '1.038.543'], '1_007,053')
('SU002027шт', ['2,00', '8.380'], '20,000')
('SU000246кг', ['11,00', '102.488'], '96,130')
('SU002287кг', ['7,00', '67.350'], '63,976')
('SU003425кг', ['5,00', '62.382'], '60,332')
('SU002074кг', ['4,00', '36.474'], '34,162')
('SU002538шт', ['25,00', '56.200'], '150,000')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['34,00', '48.620'], '204,000')
('SU002011кг', ['19,00', '107.072'], '100,422')
('SU002634кг', ['40,00', '218.217'], '204,217')
('SU002010кг', ['19,00', '107.061'], '100,411')
('SU002632шт', ['19,00', '94.810'], '152,000')
('SU002631шт', ['38,00', '189.620'], '304,000')
('SU002035кг', ['29,00', '163.473'], '153,323')
('SU002158кг', ['19,00', '106.800'], '100,150')
('SU002151кг', ['23,00', '129.639'], '121,589')
('SU002916шт', ['15,00', '74.850'], '120,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['7,00', '34.930'], '56,000')
('SU002655кг', ['146,00', '1.377.215'], '1_306,843')

