ООО КСК ТРЕЙД Тс253879-25 23.12.2025 Антонов 17723кг.pdf
('SU000722кг', ['24,00', '267.126'], '257,286')
('SU001485шт', ['140,00', '586.600'], '1_400,000')
('SU002829кг', ['28,00', '312.655'], '301,175')
('SU002815шт', ['43,00', '201.670'], '430,000')
('SU002815шт', ['77,00', '361.130'], '770,000')
('SU002828кг', ['19,00', '213.537'], '205,747')
('SU002814шт', ['67,00', '192.290'], '402,000')
('SU002835кг', ['13,00', '109.188'], '101,674')
('SU002830кг', ['19,00', '214.917'], '207,127')
('SU002816шт', ['150,00', '703.500'], '1_500,000')
('SU001523кг', ['13,00', '111.396'], '105,130')
('SU001718шт', ['67,00', '196.310'], '402,000')
('SU002928кг', ['5,00', '55.457'], '53,407')
('SU003745шт', ['15,00', '20.400'], '150,000')
('SU002734шт', ['100,00', '469.000'], '1_000,000')
('SU002356шт', ['15,00', '18.300'], '150,000')
('SU003336шт', ['9,00', '18.378'], '54,000')
('SU002367шт', ['12,00', '26.952'], '72,000')
('SU002983шт', ['38,00', '129.200'], '304,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002756кг', ['15,00', '68.649'], '65,259')
('SU002876кг', ['12,00', '55.005'], '52,293')
('SU002847кг', ['22,00', '100.376'], '95,836')
('SU004026шт', ['15,00', '16.350'], '150,000')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['67,00', '149.812'], '402,000')
('SU003178шт', ['15,00', '15.600'], '150,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU003895шт', ['23,00', '33.120'], '414,000')
('SU003893шт', ['17,00', '24.480'], '306,000')
('SU003894шт', ['17,00', '24.480'], '306,000')
('SU003896шт', ['9,00', '12.960'], '162,000')
('SU002941кг', ['38,00', '215.333'], '205,833')
('SU002943кг', ['10,00', '56.471'], '53,971')
('SU002945кг', ['149,00', '842.481'], '807,913')
('SU002944шт', ['42,00', '81.312'], '252,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['25,00', '48.400'], '150,000')
('SU002948шт', ['30,00', '58.260'], '180,000')
('SU002725кг', ['8,00', '70.394'], '66,538')
('SU002842шт', ['34,00', '89.420'], '204,000')
('SU002618шт', ['42,00', '110.460'], '252,000')
('SU002686шт', ['17,00', '44.595'], '102,000')
('SU002844шт', ['34,00', '89.828'], '204,000')
('SU002759шт', ['20,00', '52.600'], '120,000')
('SU002758шт', ['20,00', '52.600'], '120,000')
('SU003273кг', ['5,00', '59.450'], '57,400')
('SU003271кг', ['11,00', '131.496'], '126,986')
('SU003272шт', ['5,00', '20.950'], '50,000')
('SU003920шт', ['14,00', '27.720'], '210,000')
('SU003925шт', ['6,00', '6.696'], '108,000')
('SU002617шт', ['117,00', '261.612'], '702,000')
('SU002252шт', ['34,00', '68.612'], '204,000')
('SU001051кг', ['5,00', '47.088'], '44,678')
('SU000227кг', ['75,00', '635.287'], '599,137')
('SU001430кг', ['23,00', '213.652'], '202,566')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU001869шт', ['54,00', '151.740'], '810,000')
('SU002840шт', ['25,00', '55.000'], '500,000')
('SU003167шт', ['134,00', '310.612'], '804,000')
('SU003168шт', ['84,00', '194.712'], '504,000')
('SU003422кг', ['114,00', '1.763.760'], '1_710,180')
('SU003423кг', ['28,00', '425.267'], '412,107')
('SU003423кг', ['27,00', '422.453'], '409,763')
('SU003420кг', ['120,00', '1.857.728'], '1_801,328')
('SU000251кг', ['54,00', '836.010'], '810,630')
('SU003421шт', ['4,00', '20.760'], '40,000')
('SU000126кг', ['94,00', '1.455.207'], '1_411,027')
('SU002027шт', ['4,00', '16.760'], '40,000')
('SU002287кг', ['4,00', '35.918'], '33,990')
('SU003425кг', ['1,00', '12.478'], '12,068')
('SU003425кг', ['3,00', '37.323'], '36,093')
('SU002074кг', ['14,00', '133.524'], '125,432')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002604шт', ['15,00', '33.630'], '90,000')
('SU003342шт', ['50,00', '71.500'], '300,000')
('SU002634кг', ['39,00', '213.655'], '200,005')
('SU002010кг', ['19,00', '107.191'], '100,541')
('SU002632шт', ['25,00', '124.750'], '200,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['38,00', '213.900'], '200,600')
('SU002158кг', ['10,00', '56.375'], '52,875')
('SU002151кг', ['19,00', '106.613'], '99,963')
('SU002916шт', ['25,00', '124.750'], '200,000')
('SU002918шт', ['13,00', '65.494'], '104,000')
('SU002655кг', ['112,00', '1.066.361'], '1_012,377')

