ООО НВ Тс254111-25 25.12.2025 Лихачев 2150кг.pdf
('SU003828шт', ['36,00', '209.880'], '288,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003613шт', ['70,00', '268.100'], '700,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003601шт', ['140,00', '260.400'], '840,000')

ООО НВ Тс254119-25 25.12.2025 Лихачев 9513кг.pdf
('SU003975шт', ['24,00', '178.320'], '192,000')
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['72,00', '520.560'], '720,000')
('SU003385шт', ['36,00', '260.280'], '360,000')
('SU003529шт', ['48,00', '347.040'], '480,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003591шт', ['84,00', '320.880'], '1_008,000')
('SU003607шт', ['84,00', '320.880'], '1_008,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['56,00', '173.600'], '672,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003613шт', ['56,00', '214.480'], '560,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003459шт', ['204,00', '1.474.920'], '2_040,000')
('SU003578шт', ['126,00', '405.720'], '1_512,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003576шт', ['14,00', '45.248'], '168,000')
('SU003596шт', ['28,00', '90.160'], '336,000')
('SU003601шт', ['56,00', '104.160'], '336,000')
('SU000197кг', ['180,00', '936.000'], '900,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU004012шт', ['14,00', '36.680'], '168,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU002268шт', ['108,00', '564.840'], '540,000')
('SU003320шт', ['84,00', '607.320'], '840,000')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003448кг', ['14,00', '44.520'], '42,000')

