ООО НВ Тс096563-25 12.05.2025 Ожех 7088кг.pdf
('SU003599шт', ['14,00', '23.520'], '84,000')
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['168,00', '875.784'], '840,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003594шт', ['42,00', '160.440'], '504,000')
('SU003605шт', ['56,00', '227.360'], '448,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003459шт', ['120,00', '867.600'], '1_200,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['324,00', '1.684.800'], '1_620,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['132,00', '690.360'], '660,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ Тс096560-25 12.05.2025 Ожех 6424кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003593шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002570шт', ['48,00', '158.880'], '1_056,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003459шт', ['96,00', '694.080'], '960,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU003800шт', ['98,00', '315.560'], '1_176,000')
('SU003795шт', ['56,00', '180.320'], '672,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003024кг', ['126,00', '239.400'], '226,800')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003454кг', ['84,00', '325.920'], '310,800')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['42,00', '133.560'], '126,000')

