Перенос данных из Строка - 3; наименование - Готовые чебупели с ветчиной и сыром ТМ Горячая штучка флоу-пак 0,24 кг.  ПОКОМ ==> 
	Строка - 87; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004971/","Снеки «Готовые чебупели с ветчиной и сыром» Фикс.вес 0,24 ТМ «Горячая штучка»"), в количестве 98
Перенос данных из Строка - 4; наименование - Готовые чебупели сочные с мясом ТМ Горячая штучка флоу-пак 0,24 кг  ПОКОМ ==> 
	Строка - 89; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004966/","Снеки «Готовые чебупели сочные с мясом» Фикс.вес 0,24 ТМ «Горячая штучка»"), в количестве 112
Перенос данных из Строка - 9; наименование - Круггетсы с сырным соусом ТМ Горячая штучка ТС Круггетсы флоу-пак 0,2 кг  ПОКОМ ==> 
	Строка - 134; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Круггетсы/Снеки/P004956/","Снеки «Круггетсы с сырным соусом» Фикс.вес 0,2 ТМ «Горячая штучка»"), в количестве 14
Перенос данных из Строка - 10; наименование - Круггетсы сочные ТМ Горячая штучка ТС Круггетсы флоу-пак 0,2 кг.  ПОКОМ ==> 
	Строка - 135; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Круггетсы/Снеки/P004953/","Снеки «Круггетсы сочные» Фикс.вес 0,2 ТМ «Горячая штучка»"), в количестве 28
Перенос данных из Строка - 11; наименование - Мини-пицца с ветчиной и сыром ТМ Зареченские ВЕС,  ПОКОМ ==> 
	Строка - 262; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004457/","Снеки «Мини-пицца с ветчиной и сыром» Весовые ТМ «Зареченские продукты» 3 кг"), в количестве 140
Перенос данных из Строка - 12; наименование - Мини-сосиски в тесте 3,7кг ВЕС заморож. ТМ Зареченские  ПОКОМ ==> 
	Строка - 263; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004364/","Снеки «Мини-сосиски в тесте» Весовые ТМ «Зареченские» 3,7 кг"), в количестве 126
Перенос данных из Строка - 13; наименование - Мини-чебуречки с мясом ВЕС 5,5кг ТМ Зареченские  ПОКОМ ==> 
	Строка - 264; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004358/","Снеки «Мини-чебуречки с мясом» Весовой ТМ «Зареченские» 5,5 кг"), в количестве 12
Перенос данных из Строка - 14; наименование - Мини-шарики с курочкой и сыром ТМ Зареченские ВЕС  ПОКОМ ==> 
	Строка - 265; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004394/","Снеки «Мини-шарики с курочкой и сыром» Весовой ТМ «Зареченские» 3 кг"), в количестве 182
Перенос данных из Строка - 15; наименование - Наггетсы из печи 0,25кг ТМ Вязанка ТС Няняггетсы Сливушки замор.  ПОКОМ ==> 
	Строка - 168; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004497/","Наггетсы «из печи» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 70
Перенос данных из Строка - 16; наименование - Наггетсы Нагетосы Сочная курочка ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 28; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Наггетсы ГШ/Наггетсы/P004602/","Наггетсы «Нагетосы Сочная курочка» Фикс.вес 0,25 ТМ «Горячая штучка»"), в количестве 126
Перенос данных из Строка - 17; наименование - Наггетсы с индейкой 0,25кг ТМ Вязанка ТС Няняггетсы Сливушки НД2 замор.  ПОКОМ ==> 
	Строка - 169; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004496/","Наггетсы «с индейкой» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 70
Перенос данных из Строка - 18; наименование - Наггетсы с куриным филе и сыром ТМ Вязанка 0,25 кг ПОКОМ ==> 
	Строка - 170; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004535/","Наггетсы «с куриным филе и сыром» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 70
Перенос данных из Строка - 19; наименование - Наггетсы Хрустящие ТМ Зареченские. ВЕС ПОКОМ ==> 
	Строка - 251; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Наггетсы/P003486/","Наггетсы «Хрустящие» Весовые ТМ «Зареченские» 6 кг"), в количестве 84
Перенос данных из Строка - 23; наименование - Пельмени Бигбули #МЕГАВКУСИЩЕ с сочной грудинкой ТМ Горячая штучка 0,7 кг. ПОКОМ ==> 
