ООО КСК ТРЕЙД Тс144176-26 12.07.2026 Крым 1257кг (Ислюков).pdf
('SU002829кг', ['5,00', '56.357'], '54,307')
('SU002828кг', ['4,00', '44.627'], '42,987')
('SU002816шт', ['5,00', '23.450'], '50,000')
('SU002928кг', ['2,00', '22.464'], '21,644')
('SU001721кг', ['13,00', '113.094'], '106,828')
('SU002941кг', ['6,00', '34.596'], '33,096')
('SU002845кг', ['1,00', '8.531'], '8,049')
('SU001820кг', ['3,00', '13.255'], '12,577')
('SU000227кг', ['10,00', '92.236'], '88,136')
('SU003422кг', ['10,00', '155.345'], '150,645')
('SU003423кг', ['7,00', '107.965'], '104,675')
('SU000126кг', ['10,00', '154.364'], '149,664')
('SU002614кг', ['2,00', '11.295'], '10,795')
('SU002613кг', ['2,00', '11.407'], '10,907')
('SU002011кг', ['2,00', '11.321'], '10,621')
('SU002182кг', ['1,00', '5.565'], '5,215')
('SU002634кг', ['20,00', '109.182'], '102,182')
('SU002010кг', ['10,00', '56.954'], '53,454')
('SU002035кг', ['14,00', '79.627'], '74,727')
('SU002150кг', ['4,00', '22.545'], '21,145')
('SU002158кг', ['4,00', '22.415'], '21,015')
('SU002151кг', ['6,00', '33.690'], '31,590')
('SU002808кг', ['1,00', '12.410'], '12,000')
('SU002655кг', ['12,00', '114.062'], '108,278')

ООО КСК ТРЕЙД Тс144289-26 12.07.2026 Крым 16281кг (Ислюков).pdf
('SU001485шт', ['80,00', '335.200'], '800,000')
('SU002829кг', ['10,00', '112.440'], '108,340')
('SU002815шт', ['90,00', '422.100'], '900,000')
('SU002828кг', ['11,00', '122.652'], '118,142')
('SU002814шт', ['3,00', '8.610'], '18,000')
('SU002814шт', ['31,00', '88.970'], '186,000')
('SU002835кг', ['3,00', '24.486'], '23,040')
('SU002816шт', ['70,00', '328.300'], '700,000')
('SU001523кг', ['13,00', '112.334'], '106,068')
('SU001718шт', ['150,00', '439.500'], '900,000')
('SU002734шт', ['80,00', '375.200'], '800,000')
('SU001721кг', ['31,00', '270.415'], '255,473')
('SU001720шт', ['134,00', '392.620'], '804,000')
('SU003336шт', ['9,00', '18.378'], '54,000')
('SU002367шт', ['27,00', '60.642'], '162,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002985шт', ['25,00', '76.400'], '200,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU004041кг', ['66,00', '248.346'], '233,166')
('SU004047кг', ['70,00', '268.157'], '252,057')
('SU004044кг', ['94,00', '355.873'], '334,253')
('SU004039шт', ['70,00', '127.120'], '420,000')
('SU003751шт', ['6,00', '5.592'], '48,000')
('SU004045шт', ['60,00', '108.960'], '360,000')
('SU003988шт', ['5,00', '5.800'], '50,000')
('SU004042шт', ['50,00', '90.800'], '300,000')
('SU002847кг', ['5,00', '22.825'], '21,677')
('SU004026шт', ['25,00', '27.250'], '250,000')
('SU002660шт', ['59,00', '131.924'], '354,000')
('SU002877шт', ['64,00', '143.104'], '384,000')
('SU003178шт', ['25,00', '26.500'], '250,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU003895шт', ['11,00', '15.840'], '198,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['16,00', '23.040'], '288,000')
('SU003896шт', ['7,00', '10.080'], '126,000')
('SU002941кг', ['74,00', '423.085'], '404,585')
('SU002945кг', ['21,00', '119.263'], '114,391')
('SU002947кг', ['12,00', '68.502'], '65,502')
('SU002944шт', ['75,00', '145.200'], '450,000')
('SU002942шт', ['44,00', '85.184'], '264,000')
('SU002946шт', ['92,00', '178.112'], '552,000')
('SU002948шт', ['57,00', '110.694'], '342,000')
('SU002725кг', ['41,00', '370.411'], '350,649')
('SU002842шт', ['67,00', '176.210'], '402,000')
('SU002618шт', ['217,00', '570.710'], '1_302,000')
