ООО КСК ТРЕЙД Тс200797-25 07.10.2025 Крамаренко 5062кг.pdf
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU003677шт', ['14,00', '19.320'], '84,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003698шт', ['24,00', '173.520'], '240,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU002268шт', ['36,00', '188.280'], '180,000')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['36,00', '188.280'], '180,000')

